Voter,Affiliation,1st,2nd,3rd,Year
K.C. Johnson,Chicago Tribune,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2015
Ken Berger,CBSSports.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2015
Kevin Arnovitz,ESPN.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2015
Kevin Calabro,ESPN Radio,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Mudiay, Emmanuel -- DEN",2015
Lang Whitaker,NBA.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2015
Marc Spears,The Undefeated,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2015
Marc Stein,ESPN.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2015
Marc Zumoff,Sixers TV,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2015
Mark Boyle,107.5/1070 The Fan,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2015
Mark Followill,TXA-21/Fox Sports Net,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Winslow, Justise -- MIA",2015
Mark Medina,LA Daily News,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2015
Marv Albert,TNT,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2015
Matt Bullard,Root Sports Southwest,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2015
Matt Devlin,SportsNet/TSN,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2015
Matt Pinto,WWLS / 98.1,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2015
Matt Winer,NBA TV,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Winslow, Justise -- MIA",2015
Michael Wilbon,ESPN,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2015
Mike Breen,ABC Sports,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2015
Mike Crispino,MSG Network,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2015
Mike Fratello,TNT,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2015
Mike Monroe,The Rivard Report,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2015
Mike Rice,Comcast SportsNet NW,"Towns, Karl-Anthony -- MIN","Booker, Devin -- PHX","Porzingis, Kristaps -- NYK",2015
Mike Tirico,ESPN,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2015
Nate Taylor,Indianapolis Star,"Towns, Karl-Anthony -- MIN","Jokic, Nikola -- DEN","Porzingis, Kristaps -- NYK",2015
Nick Friedell,ESPNChicago.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2015
Paul Coro,The Arizona Republic,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2015
Paul Jones,TSN 1050/Sportsnet 590 The Fan,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Mudiay, Emmanuel -- DEN",2015
Pete Pranica,Fox Sports Southeast,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2015
Phil Chenier,Comcast SportsNet Mid-Atlantic,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2015
Ralph Lawler,Prime Ticket,"Towns, Karl-Anthony -- MIN","Okafor, Jahlil -- PHI","Porzingis, Kristaps -- NYK",2015
Ramona Shelburne,ESPN.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2015
Ric Bucher,Bleacher Report,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2015
Rick Bonnell,Charlotte Observer,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2015
Rod Beard,Detroit News,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2015
Ron Boone,ROOT Sports,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2015
Ron Tillery,Memphis Commercial Appeal,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2015
Rusty Simmons,San Francisco Chronicle,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2015
Sage Steele,ABC Sports,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Winslow, Justise -- MIA",2015
Sam Amick,USA Today,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2015
Sam Smith,Bulls.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2015
Scott Hastings,Altitude Sports & Entertainment,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2015
Sean Deveney,The Sporting News,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2015
Sean Kelley,WRNO 99.5 FM,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2015
Stefan Bondy,New York Daily News,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2015
Steve Aschburner,NBA.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2015
Steve Buckhantz,Comcast SportsNet Mid-Atlantic,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2015
Steve Holman,Hawks Radio Network,"Towns, Karl-Anthony -- MIN","Jokic, Nikola -- DEN","Porzingis, Kristaps -- NYK",2015
Ted Davis,WTMJ Radio,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2015
Tim Capstraw,WFAN (660),"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2015
Tim Kempton,KTAR Radio,"Towns, Karl-Anthony -- MIN","Jokic, Nikola -- DEN","Booker, Devin -- PHX",2015
Tim Reynolds,Associated Press,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2015
Tom Heinsohn,Comcast SportsNet New England,"Towns, Karl-Anthony -- MIN","Okafor, Jahlil -- PHI","Porzingis, Kristaps -- NYK",2015
Tom McGinnis,Sixers Radio,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2015
Vince Ellis,Detroit Free Press,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2015
Vince Goodwill,CSNChicago.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2015
Zach Lowe,ESPN.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2015
