Voter,Affiliation,1st,2nd,3rd,4th,5th,Year
Sean Grande,98.5 The Sports Hub,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC","Paul, Chris -- LAC",2015
Sean Kelley,WRNO 99.5 FM,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","James, LeBron -- CLE",2015
Sherman Hamilton,NBA TV Canada,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Paul, Chris -- LAC",2015
Stefan Bondy,New York Daily News,"Curry, Stephen -- GS","James, LeBron -- CLE","Durant, Kevin -- OKC","Leonard, Kawhi -- SA","Green, Draymond -- GS",2015
Stephanie Ready,Fox Sports Carolinas/SportSouth,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Paul, Chris -- LAC",2015
Steve Aschburner,NBA.com,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","Paul, Chris -- LAC",2015
Steve Buckhantz,Comcast SportsNet Mid-Atlantic,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","Paul, Chris -- LAC","Leonard, Kawhi -- SA","James, LeBron -- CLE",2015
Steve Holman,Hawks Radio Network,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC","Paul, Chris -- LAC",2015
Steve Martin,Fox Sports Carolinas/SportSouth,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Durant, Kevin -- OKC","Lillard, Damian -- POR",2015
Ted Davis,WTMJ Radio,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Green, Draymond -- GS",2015
Tim Capstraw,WFAN (660),"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC","Paul, Chris -- LAC",2015
Tim Kempton,KTAR Radio,"Curry, Stephen -- GS","James, LeBron -- CLE","Durant, Kevin -- OKC","Paul, Chris -- LAC","Leonard, Kawhi -- SA",2015
Tim Reynolds,Associated Press,"Curry, Stephen -- GS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Harden, James -- HOU","Westbrook, Russell -- OKC",2015
Tim Roye,KNBR Radio,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Westbrook, Russell -- OKC","Green, Draymond -- GS",2015
Tom McGinnis,Sixers Radio,"Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Durant, Kevin -- OKC","Leonard, Kawhi -- SA",2015
Tony Fiorentino,Fox Sports Sun,"Curry, Stephen -- GS","James, LeBron -- CLE","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Durant, Kevin -- OKC",2015
Vince Ellis,Detroit Free Press,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","Westbrook, Russell -- OKC","James, LeBron -- CLE","Durant, Kevin -- OKC",2015
Zach Lowe,ESPN.com,"Curry, Stephen -- GS","Leonard, Kawhi -- SA","James, LeBron -- CLE","Durant, Kevin -- OKC","Paul, Chris -- LAC",2015
