Voter,Affiliation,1st,2nd,3rd,Year
Richard Walker,Gaston Gazette,"Oladipo, Victor (IND)","Drummond, Andre (DET)","Capela, Clint (HOU)",2017
Rob Mahoney,Sports Illustrated,"Oladipo, Victor (IND)","Drummond, Andre (DET)","Capela, Clint (HOU)",2017
Rod Beard,Detroit News,"Oladipo, Victor (IND)","Drummond, Andre (DET)","Murray, Jamal (DEN)",2017
Ron Tillery,Memphis Commercial Appeal,"Oladipo, Victor (IND)","Drummond, Andre (DET)","Capela, Clint (HOU)",2017
Rosalyn Gold‐Onwude,Turner,"Oladipo, Victor (IND)","Brown, Jaylen (BOS)","Murray, Jamal (DEN)",2017
Royce Young,ESPN.com,"Oladipo, Victor (IND)","Adams, Steven (OKC)","Richardson, Josh (MIA)",2017
Sam Amick,USA Today,"Oladipo, Victor (IND)","Drummond, Andre (DET)","Randle, Julius (LAL)",2017
Scott Bordow,Arizona Republic,"Oladipo, Victor (IND)","Antetokounmpo, Giannis (MIL)","DeRozan, DeMar (TOR)",2017
Sean Deveney,The Sporting News,"Oladipo, Victor (IND)","Drummond, Andre (DET)","Capela, Clint (HOU)",2017
Sekou Smith,NBA.com,"Oladipo, Victor (IND)","Dinwiddie, Spencer (BKN)","Rozier, Terry (BOS)",2017
Sherrod Blakely,NBC Sports Boston,"Oladipo, Victor (IND)","Capela, Clint (HOU)","Brown, Jaylen (BOS)",2017
Stefan Bondy,New York Daily News,"Oladipo, Victor (IND)","Capela, Clint (HOU)","Brown, Jaylen (BOS)",2017
Steve Aschburner,NBA.com,"Oladipo, Victor (IND)","Adams, Steven (OKC)","Randle, Julius (LAL)",2017
Steve Smith,Turner,"Oladipo, Victor (IND)","Capela, Clint (HOU)","Dinwiddie, Spencer (BKN)",2017
Thales Soares,Globoesporte.com,"Dinwiddie, Spencer (BKN)","Oladipo, Victor (IND)","Rozier, Terry (BOS)",2017
Tim Reynolds,Associated Press,"Oladipo, Victor (IND)","Capela, Clint (HOU)","Murray, Dejounte (SAS)",2017
TJ Manotoc,ABS‐CBN,"Oladipo, Victor (IND)","Randle, Julius (LAL)","Drummond, Andre (DET)",2017
Tony Jones,Salt Lake Tribune,"Oladipo, Victor (IND)","Brown, Jaylen (BOS)","Moore, E'Twaun (NOP)",2017
Vincent Goodwill,NBC Sports Chicago,"Oladipo, Victor (IND)","Drummond, Andre (DET)","Dinwiddie, Spencer (BKN)",2017
Weiping Zhang,CCTV,"Oladipo, Victor (IND)","DeRozan, DeMar (TOR)","Drummond, Andre (DET)",2017
Will Guillory,New Orleans Times‐Picayune,"Oladipo, Victor (IND)","Capela, Clint (HOU)","Williams, Lou (LAL)",2017
Xavier Vaution,BeIn Sport,"Oladipo, Victor (IND)","Dinwiddie, Spencer (BKN)","Antetokounmpo, Giannis (MIL)",2017
Yoko Miyaji,Sports Graphic Number,"Oladipo, Victor (IND)","Randle, Julius (LAL)","Brown, Jaylen (BOS)",2017
Zach Lowe,ESPN.com,"Oladipo, Victor (IND)","Adams, Steven (OKC)","Drummond, Andre (DET)",2017
