Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year
Reggie Miller,Turner,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Wall, John (Was.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Antetokounmpo, Giannis (Mil.)","Davis, Anthony (N.O.)","Smart, Marcus (Bos.)","Paul, Chris (LA-C)",2016
Ric Bucher,Bleacher Report,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Paul, Chris (LA-C)","Aminu, Al-Farouq (Por.)","Antetokounmpo, Giannis (Mil.)","Jordan, DeAndre (LA-C)","Allen, Tony (Mem.)","Thompson, Klay (G.S.)",2016
Richard Walker,Gaston Gazette,"Green, Draymond (G.S.)","Towns, Karl-Anthony (Min.)","Whiteside, Hassan (Mia.)","Wall, John (Was.)","Westbrook, Russell (OKC.)","Antetokounmpo, Giannis (Mil.)","Davis, Anthony (N.O.)","Gobert, Rudy (Utah)","Batum, Nicolas (Cha.)","Lillard, Damian (Por.)",2016
Rod Beard,Detroit News,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Millsap, Paul (Atl.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Green, Danny (S.A.)","Bradley, Avery (Bos.)",2016
Ron Tillery,Memphis Commercial-Appeal,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Green, Danny (S.A.)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)",2016
Royce Young,ESPN,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Green, Danny (S.A.)","Thompson, Klay (G.S.)","Durant, Kevin (G.S.)","Roberson, Andre (OKC.)","Zeller, Cody (Cha.)","Paul, Chris (LA-C)","Bradley, Avery (Bos.)",2016
Ryan Wolstat,Toronto Sun,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Paul, Chris (LA-C)","Crowder, Jae (Bos.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Wall, John (Was.)","Green, Danny (S.A.)",2016
Sage Steele,ABC/ESPN,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Green, Danny (S.A.)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Beverley, Patrick (Hou.)","Allen, Tony (Mem.)",2016
Sam Amick,USA Today,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Green, Danny (S.A.)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Allen, Tony (Mem.)","Paul, Chris (LA-C)",2016
Sean Deveney,The Sporting News,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)","Thompson, Klay (G.S.)","Holiday, Jrue (N.O.)",2016
Sekou Smith,NBA.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)","George, Paul (Ind.)","Butler, Jimmy (Chi.)","Jordan, DeAndre (LA-C)","Thompson, Klay (G.S.)","Bradley, Avery (Bos.)",2016
Sherrod Blakely,CSN New England,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Smart, Marcus (Bos.)","Antetokounmpo, Giannis (Mil.)","Allen, Tony (Mem.)","Crowder, Jae (Bos.)","Whiteside, Hassan (Mia.)","Bradley, Avery (Bos.)","Beverley, Patrick (Hou.)",2016
Steve Aschburner,NBA.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Butler, Jimmy (Chi.)","Jordan, DeAndre (LA-C)","Bradley, Avery (Bos.)","Paul, Chris (LA-C)",2016
Steve Kyler,Basketball Insiders,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Westbrook, Russell (OKC.)","Paul, Chris (LA-C)","Davis, Anthony (N.O.)","Durant, Kevin (G.S.)","Whiteside, Hassan (Mia.)","Green, Danny (S.A.)","Curry, Stephen (G.S.)",2016
Steve Smith,Turner,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Wall, John (Was.)","Bradley, Avery (Bos.)","Roberson, Andre (OKC.)","Antetokounmpo, Giannis (Mil.)","Jordan, DeAndre (LA-C)","Beverley, Patrick (Hou.)","Paul, Chris (LA-C)",2016
Tim Reynolds,Associated Press,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Antetokounmpo, Giannis (Mil.)","Paul, Chris (LA-C)","Davis, Anthony (N.O.)","Millsap, Paul (Atl.)","Whiteside, Hassan (Mia.)","Allen, Tony (Mem.)","Wall, John (Was.)",2016
TJ Manotoc,ABC-CBN,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Bradley, Avery (Bos.)","Matthews, Wesley (Dal.)","Davis, Anthony (N.O.)","Roberson, Andre (OKC.)","Jordan, DeAndre (LA-C)","Green, Danny (S.A.)","Allen, Tony (Mem.)",2016
Tony Jones,Salt Lake Tribune,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Wall, John (Was.)","Paul, Chris (LA-C)","Antetokounmpo, Giannis (Mil.)","Davis, Anthony (N.O.)","Jordan, DeAndre (LA-C)","Green, Danny (S.A.)","Allen, Tony (Mem.)",2016
Vince Goodwill,CSN Chicago,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Paul, Chris (LA-C)","Butler, Jimmy (Chi.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Bradley, Avery (Bos.)","Allen, Tony (Mem.)",2016
Weiping Zhang,CCTV,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Davis, Anthony (N.O.)","Millsap, Paul (Atl.)","Howard, Dwight (Atl.)","Green, Danny (S.A.)","Allen, Tony (Mem.)",2016
Yoko Miyaji,Sports Graphic Number,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Smart, Marcus (Bos.)","Butler, Jimmy (Chi.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Antetokounmpo, Giannis (Mil.)","Beverley, Patrick (Hou.)",2016
Zach Lowe,ESPN.com,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Green, Danny (S.A.)","Paul, Chris (LA-C)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)",2016
