Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year,Award
Gary Washburn,Boston Globe,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Mudiay, Emmanuel -- DEN","Okafor, Jahlil -- PHI","Jokic, Nikola -- DEN","Winslow, Justise -- MIA","Russell, D'Angelo -- LAL","Turner, Myles -- IND","Richardson, Josh -- MIA",2016,All-Rookie
George Blaha,WMGC / Fox Sports Detroit,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Turner, Myles -- IND","Mudiay, Emmanuel -- DEN","Booker, Devin -- PHX","Russell, D'Angelo -- LAL","Jokic, Nikola -- DEN","Winslow, Justise -- MIA","Okafor, Jahlil -- PHI","Kaminsky, Frank -- CHA",2016,All-Rookie
Glenn Consor,106.7 The Fan,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Mudiay, Emmanuel -- DEN","Okafor, Jahlil -- PHI","Jokic, Nikola -- DEN","Booker, Devin -- PHX","Hezonja, Mario -- ORL","Russell, D'Angelo -- LAL","Richardson, Josh -- MIA","Winslow, Justise -- MIA",2016,All-Rookie
Grant Napear,Comcast SportsNet-CA,"Booker, Devin -- PHX","Porzingis, Kristaps -- NYK","Towns, Karl-Anthony -- MIN","Jokic, Nikola -- DEN","Turner, Myles -- IND","Cauley-Stein, Willie -- SAC","Mudiay, Emmanuel -- DEN","Lyles, Trey -- UTA","Winslow, Justise -- MIA","Okafor, Jahlil -- PHI",2016,All-Rookie
Howard Beck,Bleacher Report,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Mudiay, Emmanuel -- DEN","Okafor, Jahlil -- PHI","Russell, D'Angelo -- LAL","Booker, Devin -- PHX","Turner, Myles -- IND","Winslow, Justise -- MIA","Kaminsky, Frank -- CHA",2016,All-Rookie
Hubie Brown,ESPN,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI","Turner, Myles -- IND","Winslow, Justise -- MIA","Booker, Devin -- PHX","Jokic, Nikola -- DEN","Mudiay, Emmanuel -- DEN","Portis, Bobby -- CHI","Russell, D'Angelo -- LAL",2016,All-Rookie
Israel Guttierez,ESPN.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Winslow, Justise -- MIA","Mudiay, Emmanuel -- DEN","Cauley-Stein, Willie -- SAC","Russell, D'Angelo -- LAL","Okafor, Jahlil -- PHI","Johnson, Stanley -- DET","Turner, Myles -- IND",2016,All-Rookie
JA Adande,ESPN.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Jokic, Nikola -- DEN","Winslow, Justise -- MIA","Okafor, Jahlil -- PHI","Mudiay, Emmanuel -- DEN","Russell, D'Angelo -- LAL","Turner, Myles -- IND","Cauley-Stein, Willie -- SAC",2016,All-Rookie
Jason Jackson,Fox Sports Sun,"Booker, Devin -- PHX","Porzingis, Kristaps -- NYK","Towns, Karl-Anthony -- MIN","Okafor, Jahlil -- PHI","Cauley-Stein, Willie -- SAC","Winslow, Justise -- MIA","Richardson, Josh -- MIA","Kaminsky, Frank -- CHA","Russell, D'Angelo -- LAL","Turner, Myles -- IND",2016,All-Rookie
Jason Jones,Sacramento Bee,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Okafor, Jahlil -- PHI","Turner, Myles -- IND","Russell, D'Angelo -- LAL","Johnson, Stanley -- DET","Mudiay, Emmanuel -- DEN","Winslow, Justise -- MIA","Cauley-Stein, Willie -- SAC",2016,All-Rookie
Jason Lieser,Palm Beach Post,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Winslow, Justise -- MIA","Booker, Devin -- PHX","Russell, D'Angelo -- LAL","Richardson, Josh -- MIA","Cauley-Stein, Willie -- SAC","Turner, Myles -- IND","Okafor, Jahlil -- PHI","Jokic, Nikola -- DEN",2016,All-Rookie
Jason Quick,Comcast SportsNet NW,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI","Booker, Devin -- PHX","Mudiay, Emmanuel -- DEN","Turner, Myles -- IND","Jokic, Nikola -- DEN","Cauley-Stein, Willie -- SAC","Russell, D'Angelo -- LAL","Winslow, Justise -- MIA",2016,All-Rookie
Jeff McDonald,San Antonio Express-News,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Booker, Devin -- PHX","Turner, Myles -- IND","Russell, D'Angelo -- LAL","Mudiay, Emmanuel -- DEN","Okafor, Jahlil -- PHI","Winslow, Justise -- MIA","Cauley-Stein, Willie -- SAC",2016,All-Rookie
Jeff Zillgitt,USA Today,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Jokic, Nikola -- DEN","Okafor, Jahlil -- PHI","Russell, D'Angelo -- LAL","Mudiay, Emmanuel -- DEN","Turner, Myles -- IND","Richardson, Josh -- MIA","Winslow, Justise -- MIA",2016,All-Rookie
Jerry Zgoda,Minneapolis Star Tribune,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Winslow, Justise -- MIA","Jokic, Nikola -- DEN","Cauley-Stein, Willie -- SAC","Lyles, Trey -- UTA","Mudiay, Emmanuel -- DEN","Russell, D'Angelo -- LAL","Okafor, Jahlil -- PHI",2016,All-Rookie
Jessica Camerato,Comcast SportsNet,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Winslow, Justise -- MIA","Okafor, Jahlil -- PHI","Mudiay, Emmanuel -- DEN","Booker, Devin -- PHX","Russell, D'Angelo -- LAL","Turner, Myles -- IND","Cauley-Stein, Willie -- SAC",2016,All-Rookie
Jim Paschke,Fox Sports Wisconsin,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI","Cauley-Stein, Willie -- SAC","Jokic, Nikola -- DEN","Winslow, Justise -- MIA","Richardson, Josh -- MIA","Booker, Devin -- PHX","Russell, D'Angelo -- LAL","Mudiay, Emmanuel -- DEN",2016,All-Rookie
Jim Petersen,Fox Sports North,"Towns, Karl-Anthony -- MIN","Jokic, Nikola -- DEN","Booker, Devin -- PHX","Porzingis, Kristaps -- NYK","Winslow, Justise -- MIA","Okafor, Jahlil -- PHI","Mudiay, Emmanuel -- DEN","Turner, Myles -- IND","Lyles, Trey -- UTA","Cauley-Stein, Willie -- SAC",2016,All-Rookie
