Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Forward (3-1),Forward (3-2),Center (3-1),Guard (3-1),Guard (3-2),Year,Award
Doug Haller,Arizona Republic,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Antetokounmpo, Giannis (Mil.)","Durant, Kevin (G.S.)","Gobert, Rudy (Utah)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Hayward, Gordon (Utah)","George, Paul (Ind.)","Towns, Karl-Anthony (Min.)","Wall, John (Was.)","Lillard, Damian (Por.)",2016,All-NBA
Doug Smith,The Toronto Star,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Davis, Anthony (N.O.)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Green, Draymond (G.S.)","Hayward, Gordon (Utah)","Towns, Karl-Anthony (Min.)","DeRozan, DeMar (Tor.)","Wall, John (Was.)",2016,All-NBA
Eddie Sefko,Dallas Morning News,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Davis, Anthony (N.O.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Towns, Karl-Anthony (Min.)","Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Curry, Stephen (G.S.)","Wall, John (Was.)","Durant, Kevin (G.S.)","Butler, Jimmy (Chi.)","Jokic, Nikola (Den.)","DeRozan, DeMar (Tor.)","Thomas, Isaiah (Bos.)",2016,All-NBA
Erik Horne,The Oklahoman,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Davis, Anthony (N.O.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Durant, Kevin (G.S.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Butler, Jimmy (Chi.)","Antetokounmpo, Giannis (Mil.)","Jokic, Nikola (Den.)","Wall, John (Was.)","DeRozan, DeMar (Tor.)",2016,All-NBA
Ernie Johnson,Turner,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Cousins, DeMarcus (N.O.)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","George, Paul (Ind.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Wall, John (Was.)","DeRozan, DeMar (Tor.)",2016,All-NBA
Flavio Tranquillo,Sky Italia,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Curry, Stephen (G.S.)","Harden, James (Hou.)","Antetokounmpo, Giannis (Mil.)","Durant, Kevin (G.S.)","Davis, Anthony (N.O.)","Westbrook, Russell (OKC.)","Thomas, Isaiah (Bos.)","George, Paul (Ind.)","Hayward, Gordon (Utah)","Towns, Karl-Anthony (Min.)","Wall, John (Was.)","Paul, Chris (LA-C)",2016,All-NBA
Fran Blinebury,NBA.com,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Towns, Karl-Anthony (Min.)","Curry, Stephen (G.S.)","Paul, Chris (LA-C)","Green, Draymond (G.S.)","Butler, Jimmy (Chi.)","Gobert, Rudy (Utah)","Wall, John (Was.)","Thomas, Isaiah (Bos.)",2016,All-NBA
Frank Isola,Sirius Radio/New York Daily News,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Antetokounmpo, Giannis (Mil.)","Green, Draymond (G.S.)","Towns, Karl-Anthony (Min.)","Thomas, Isaiah (Bos.)","Curry, Stephen (G.S.)","Durant, Kevin (G.S.)","Butler, Jimmy (Chi.)","Jokic, Nikola (Den.)","DeRozan, DeMar (Tor.)","Wall, John (Was.)",2016,All-NBA
Gary Washburn,Boston Globe,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Jordan, DeAndre (LA-C)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Antetokounmpo, Giannis (Mil.)","Durant, Kevin (G.S.)","Gobert, Rudy (Utah)","DeRozan, DeMar (Tor.)","Thomas, Isaiah (Bos.)","George, Paul (Ind.)","Davis, Anthony (N.O.)","Towns, Karl-Anthony (Min.)","Curry, Stephen (G.S.)","Lillard, Damian (Por.)",2016,All-NBA
Howard Beck,Bleacher Report,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Davis, Anthony (N.O.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Durant, Kevin (G.S.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Antetokounmpo, Giannis (Mil.)","Butler, Jimmy (Chi.)","Gasol, Marc (Mem.)","Wall, John (Was.)","Paul, Chris (LA-C)",2016,All-NBA
Hubie Brown,ABC/ESPN,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Davis, Anthony (N.O.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Cousins, DeMarcus (N.O.)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Green, Draymond (G.S.)","George, Paul (Ind.)","Towns, Karl-Anthony (Min.)","Wall, John (Was.)","DeRozan, DeMar (Tor.)",2016,All-NBA
