Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Forward (3-1),Forward (3-2),Center (3-1),Guard (3-1),Guard (3-2),Year
Marv Albert,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Randle, Julius (NYK)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Westbrook, Russell (WAS)",2020
Sam Amick,The Athletic,"Randle, Julius (NYK)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Curry, Stephen (GSW)","Leonard, Kawhi (LAC)","George, Paul (LAC)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","James, LeBron (LAL)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Irving, Kyrie (BKN)",2020
Greg Anthony,Turner,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Curry, Stephen (GSW)","Randle, Julius (NYK)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Westbrook, Russell (WAS)","James, LeBron (LAL)","George, Paul (LAC)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Booker, Devin (PHX)",2020
Kevin Arnovitz,ESPN,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","George, Paul (LAC)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Butler, Jimmy (MIA)","Williamson, Zion (NOP)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","James, LeBron (LAL)","Beal, Bradley (WAS)",2020
Steve Aschburner,NBA.com,"Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","Williamson, Zion (NOP)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Mitchell, Donovan (UTA)",2020
Evan Barnes,Memphis Commercial Appeal,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Paul, Chris (PHX)","Curry, Stephen (GSW)","Randle, Julius (NYK)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Beal, Bradley (WAS)","Booker, Devin (PHX)","George, Paul (LAC)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Lillard, Damian (POR)","Westbrook, Russell (WAS)",2020
Jon Barry,ESPN,"Randle, Julius (NYK)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Durant, Kevin (BKN)","George, Paul (LAC)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Harden, James (BKN)","James, LeBron (LAL)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Mitchell, Donovan (UTA)","Paul, Chris (PHX)",2020
Howard Beck,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","Randle, Julius (NYK)","Williamson, Zion (NOP)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","George, Paul (LAC)",2020
Stefan Bondy,New York Daily News,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Paul, Chris (PHX)","Curry, Stephen (GSW)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Lillard, Damian (POR)","Randle, Julius (NYK)","George, Paul (LAC)","Adebayo, Bam (MIA)","Tatum, Jayson (BOS)","Harden, James (BKN)",2020
Tim Bontemps,ESPN,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Butler, Jimmy (MIA)","James, LeBron (LAL)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Doncic, Luka (DAL)","George, Paul (LAC)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Beal, Bradley (WAS)",2020
Chris Broussard,Fox Sports,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Lillard, Damian (POR)","Butler, Jimmy (MIA)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Mitchell, Donovan (UTA)","Westbrook, Russell (WAS)",2020
Ric Bucher,Sirius Radio,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","James, LeBron (LAL)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Paul, Chris (PHX)","George, Paul (LAC)","Tatum, Jayson (BOS)","Adebayo, Bam (MIA)","Irving, Kyrie (BKN)","Beal, Bradley (WAS)",2020
Doris Burke,ESPN,"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Doncic, Luka (DAL)","Paul, Chris (PHX)","Randle, Julius (NYK)","George, Paul (LAC)","Adebayo, Bam (MIA)","Irving, Kyrie (BKN)","Beal, Bradley (WAS)",2020
Shams Charania,The Athletic/Stadium,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Irving, Kyrie (BKN)","Paul, Chris (PHX)","Randle, Julius (NYK)","James, LeBron (LAL)","Adebayo, Bam (MIA)","Beal, Bradley (WAS)","George, Paul (LAC)",2020
Anthony Chiang,Miami Herald,"Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)","Butler, Jimmy (MIA)","Curry, Stephen (GSW)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Paul, Chris (PHX)","Williamson, Zion (NOP)","James, LeBron (LAL)","Gobert, Rudy (UTA)","George, Paul (LAC)","Beal, Bradley (WAS)",2020
Davide Chinellato,La Gazzetta Dello Sport,"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Randle, Julius (NYK)","Doncic, Luka (DAL)","Gobert, Rudy (UTA)","Westbrook, Russell (WAS)","Lillard, Damian (POR)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Sabonis, Domantas (IND)","Mitchell, Donovan (UTA)","Irving, Kyrie (BKN)",2020
Mauricio Codocea,Clarin (Argentina),"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Curry, Stephen (GSW)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Gobert, Rudy (UTA)","Paul, Chris (PHX)","Lillard, Damian (POR)","George, Paul (LAC)","James, LeBron (LAL)","Adebayo, Bam (MIA)","Harden, James (BKN)","Simmons, Ben (PHI)",2020
