Voter,Affiliation,1st,2nd,3rd,Year
Reggie Miller,Turner,"Gobert, Rudy (UTA)","George, Paul (OKC)","Davis, Anthony (NOP)",2017
Ric Bucher,Bleacher Report,"Green, Draymond (GSW)","Covington, Robert (PHI)","Capela, Clint (HOU)",2017
Richard Walker,Gaston Gazette,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Green, Draymond (GSW)",2017
Rob Mahoney,Sports Illustrated,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Rod Beard,Detroit News,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2017
Ron Tillery,Memphis Commercial Appeal,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Horford, Al (BOS)",2017
Rosalyn Gold‐Onwude,Turner,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Oladipo, Victor (IND)",2017
Royce Young,ESPN.com,"Gobert, Rudy (UTA)","George, Paul (OKC)","Horford, Al (BOS)",2017
Sam Amick,USA Today,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Scott Bordow,Arizona Republic,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Sean Deveney,The Sporting News,"Gobert, Rudy (UTA)","Horford, Al (BOS)","Embiid, Joel (PHI)",2017
Sekou Smith,NBA.com,"Holiday, Jrue (NOP)","Gobert, Rudy (UTA)","George, Paul (OKC)",2017
Sherrod Blakely,NBC Sports Boston,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Horford, Al (BOS)",2017
Stefan Bondy,New York Daily News,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Brown, Jaylen (BOS)",2017
Steve Aschburner,NBA.com,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Steve Smith,Turner,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2017
Thales Soares,Globoesporte.com,"Gobert, Rudy (UTA)","Durant, Kevin (GSW)","Davis, Anthony (NOP)",2017
Tim Reynolds,Associated Press,"Gobert, Rudy (UTA)","Thompson, Klay (GSW)","Butler, Jimmy (MIN)",2017
TJ Manotoc,ABS‐CBN,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Tony Jones,Salt Lake Tribune,"Gobert, Rudy (UTA)","Horford, Al (BOS)","Davis, Anthony (NOP)",2017
Vincent Goodwill,NBC Sports Chicago,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2017
Weiping Zhang,CCTV,"Gobert, Rudy (UTA)","Green, Draymond (GSW)","Embiid, Joel (PHI)",2017
Will Guillory,New Orleans Times‐Picayune,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Xavier Vaution,BeIn Sport,"Gobert, Rudy (UTA)","George, Paul (OKC)","Davis, Anthony (NOP)",2017
Yoko Miyaji,Sports Graphic Number,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
Zach Lowe,ESPN.com,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2017
