Voter,Affiliation,1st,2nd,3rd,Year,Award
Marv Albert,Turner,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Green, Draymond (GSW)",2018,DPOY
Matt Velazquez,Milwaukee Journal Sentinel,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Matt Winer,Turner,"Gobert, Rudy (UTA)","Horford, Al (BOS)","Embiid, Joel (PHI)",2018,DPOY
Michael Grange,Rogers Sportsnet,"Horford, Al (BOS)","Davis, Anthony (NOP)","Covington, Robert (PHI)",2018,DPOY
Michael Wilbon,ABC/ESPN,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2018,DPOY
Michelle Beadle,ABC/ESPN,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","George, Paul (OKC)",2018,DPOY
Mike Breen,ABC/ESPN,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Horford, Al (BOS)",2018,DPOY
Mike Ganter,Toronto Sun,"Gobert, Rudy (UTA)","Horford, Al (BOS)","George, Paul (OKC)",2018,DPOY
Fans ,N/A,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2018,DPOY
Nira Khurana,Excelsior,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Horford, Al (BOS)",2018,DPOY
Paul Flannery,SB Nation,"Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Covington, Robert (PHI)",2018,DPOY
Rachel Nichols,ABC/ESPN,"Embiid, Joel (PHI)","Gobert, Rudy (UTA)","Davis, Anthony (NOP)",2018,DPOY
Ramona Shelburne,ESPN.com,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Reggie Miller,Turner,"Gobert, Rudy (UTA)","George, Paul (OKC)","Davis, Anthony (NOP)",2018,DPOY
Ric Bucher,Bleacher Report,"Green, Draymond (GSW)","Covington, Robert (PHI)","Capela, Clint (HOU)",2018,DPOY
Richard Walker,Gaston Gazette,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Green, Draymond (GSW)",2018,DPOY
Rob Mahoney,Sports Illustrated,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Rod Beard,Detroit News,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2018,DPOY
Ron Tillery,Memphis Commercial Appeal,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Horford, Al (BOS)",2018,DPOY
Rosalyn Gold‐Onwude,Turner,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Oladipo, Victor (IND)",2018,DPOY
Royce Young,ESPN.com,"Gobert, Rudy (UTA)","George, Paul (OKC)","Horford, Al (BOS)",2018,DPOY
Sam Amick,USA Today,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Scott Bordow,Arizona Republic,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Sean Deveney,The Sporting News,"Gobert, Rudy (UTA)","Horford, Al (BOS)","Embiid, Joel (PHI)",2018,DPOY
Sekou Smith,NBA.com,"Holiday, Jrue (NOP)","Gobert, Rudy (UTA)","George, Paul (OKC)",2018,DPOY
Sherrod Blakely,NBC Sports Boston,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Horford, Al (BOS)",2018,DPOY
Stefan Bondy,New York Daily News,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Brown, Jaylen (BOS)",2018,DPOY
Steve Aschburner,NBA.com,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Steve Smith,Turner,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2018,DPOY
Thales Soares,Globoesporte.com,"Gobert, Rudy (UTA)","Durant, Kevin (GSW)","Davis, Anthony (NOP)",2018,DPOY
Tim Reynolds,Associated Press,"Gobert, Rudy (UTA)","Thompson, Klay (GSW)","Butler, Jimmy (MIN)",2018,DPOY
TJ Manotoc,ABS‐CBN,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Tony Jones,Salt Lake Tribune,"Gobert, Rudy (UTA)","Horford, Al (BOS)","Davis, Anthony (NOP)",2018,DPOY
Vincent Goodwill,NBC Sports Chicago,"Gobert, Rudy (UTA)","Davis, Anthony (NOP)","Embiid, Joel (PHI)",2018,DPOY
Weiping Zhang,CCTV,"Gobert, Rudy (UTA)","Green, Draymond (GSW)","Embiid, Joel (PHI)",2018,DPOY
Will Guillory,New Orleans Times‐Picayune,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Xavier Vaution,BeIn Sport,"Gobert, Rudy (UTA)","George, Paul (OKC)","Davis, Anthony (NOP)",2018,DPOY
Yoko Miyaji,Sports Graphic Number,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
Zach Lowe,ESPN.com,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Davis, Anthony (NOP)",2018,DPOY
