Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Forward (3-1),Forward (3-2),Center (3-1),Guard (3-1),Guard (3-2),Year,Award
Howard Beck,Bleacher Report,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Harden, James (HOU)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Thompson, Klay (GSW)","Beal, Bradley (WAS)",2018,All-NBA
A. Blakely,NBC Sports Boston,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Harden, James (HOU)","Leonard, Kawhi (TOR)","Durant, Kevin (GSW)","Jokic, Nikola (DEN)","Westbrook, Russell (OKC)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Simmons, Ben (PHI)","Towns, Karl-Anthony (MIN)","Lillard, Damian (POR)","Mitchell, Donovan (UTA)",2018,All-NBA
Stefan Bondy,New York Daily News,"Durant, Kevin (GSW)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Harden, James (HOU)","Lillard, Damian (POR)","George, Paul (OKC)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Irving, Kyrie (BOS)","Griffin, Blake (DET)","James, LeBron (LAL)","Gobert, Rudy (UTA)","DeRozan, DeMar (SAS)","Mitchell, Donovan (UTA)",2018,All-NBA
Tim Bontemps,ESPN,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Harden, James (HOU)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Gobert, Rudy (UTA)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Griffin, Blake (DET)","Jokic, Nikola (DEN)","Beal, Bradley (WAS)","Thompson, Klay (GSW)",2018,All-NBA
Mike Breen,ESPN,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Irving, Kyrie (BOS)","Thompson, Klay (GSW)",2018,All-NBA
Chris Broussard,Fox Sports,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Harden, James (HOU)","George, Paul (OKC)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Leonard, Kawhi (TOR)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Irving, Kyrie (BOS)","Thompson, Klay (GSW)",2018,All-NBA
Ric Bucher,Bleacher Report,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Griffin, Blake (DET)","Jokic, Nikola (DEN)","Irving, Kyrie (BOS)","Lillard, Damian (POR)","James, LeBron (LAL)","Leonard, Kawhi (TOR)","Towns, Karl-Anthony (MIN)","Westbrook, Russell (OKC)","Thompson, Klay (GSW)",2018,All-NBA
Doris Burke,ESPN,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Harden, James (HOU)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Beal, Bradley (WAS)",2018,All-NBA
Dave Campbell,Associated Press,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Griffin, Blake (DET)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Leonard, Kawhi (TOR)","Gallinari, Danilo (LAC)","Towns, Karl-Anthony (MIN)","Irving, Kyrie (BOS)","Walker, Kemba (CHA)",2018,All-NBA
Anthony Chiang,Miami Herald,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Walker, Kemba (CHA)",2018,All-NBA
David Cobb,Memphis Commercial Appeal,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Harden, James (HOU)","Curry, Stephen (GSW)","Leonard, Kawhi (TOR)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Griffin, Blake (DET)","Jokic, Nikola (DEN)","Conley, Mike (MEM)","Walker, Kemba (CHA)",2018,All-NBA
Sean Deveney,The Sporting News,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Griffin, Blake (DET)","Embiid, Joel (PHI)","Irving, Kyrie (BOS)","Walker, Kemba (CHA)","James, LeBron (LAL)","Leonard, Kawhi (TOR)","Vucevic, Nikola (ORL)","Beal, Bradley (WAS)","Lillard, Damian (POR)",2018,All-NBA
Amin Elhassan,ESPN,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Harden, James (HOU)","George, Paul (OKC)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","James, LeBron (LAL)","Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Irving, Kyrie (BOS)","DeRozan, DeMar (SAS)",2018,All-NBA
Paul Flannery,SB Nation,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","Griffin, Blake (DET)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Walker, Kemba (CHA)","Westbrook, Russell (OKC)",2018,All-NBA
Reid Forgrave,CBSSports.com,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Harden, James (HOU)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Thompson, Klay (GSW)",2018,All-NBA
Joe Freeman,The Oregonian,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Lillard, Damian (POR)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","DeRozan, DeMar (SAS)",2018,All-NBA
Rosalyn Gold-Onwude,Turner,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Irving, Kyrie (BOS)","Simmons, Ben (PHI)",2018,All-NBA
Vince Goodwill,Yahoo!,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","George, Paul (OKC)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","Griffin, Blake (DET)","James, LeBron (LAL)","Towns, Karl-Anthony (MIN)","Beal, Bradley (WAS)","Walker, Kemba (CHA)",2018,All-NBA
Michael Grange,Rogers Sportsnet,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Lillard, Damian (POR)","Leonard, Kawhi (TOR)","Durant, Kevin (GSW)","Gobert, Rudy (UTA)","Irving, Kyrie (BOS)","Curry, Stephen (GSW)","Gallinari, Danilo (LAC)","Siakam, Pascal (TOR)","Embiid, Joel (PHI)","Beal, Bradley (WAS)","Westbrook, Russell (OKC)",2018,All-NBA
Jared Greenberg,Turner,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Walker, Kemba (CHA)",2018,All-NBA
Will Guillory,The Athletic,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","James, LeBron (LAL)","Embiid, Joel (PHI)","Irving, Kyrie (BOS)","Lillard, Damian (POR)","Leonard, Kawhi (TOR)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Beal, Bradley (WAS)",2018,All-NBA
Kevin Harlan,Turner Sports,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","George, Paul (OKC)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Griffin, Blake (DET)","James, LeBron (LAL)","Towns, Karl-Anthony (MIN)","Irving, Kyrie (BOS)","Thompson, Klay (GSW)",2018,All-NBA
Zach Harper,The Athletic,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Harden, James (HOU)","Curry, Stephen (GSW)","George, Paul (OKC)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Griffin, Blake (DET)","Aldridge, LaMarcus (SAS)","Gobert, Rudy (UTA)","Irving, Kyrie (BOS)","Walker, Kemba (CHA)",2018,All-NBA
Chris Haynes,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Lillard, Damian (POR)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Westbrook, Russell (OKC)","Griffin, Blake (DET)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Thompson, Klay (GSW)","Beal, Bradley (WAS)",2018,All-NBA
Kurt Helin,NBCSports.com,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Harden, James (HOU)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Walker, Kemba (CHA)",2018,All-NBA
Erik Horne,The Oklahoman,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Walker, Kemba (CHA)","James, LeBron (LAL)","Griffin, Blake (DET)","Towns, Karl-Anthony (MIN)","Westbrook, Russell (OKC)","Beal, Bradley (WAS)",2018,All-NBA
Lisa Hsu,Tencent,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Harden, James (HOU)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Walker, Kemba (CHA)",2018,All-NBA
Cassidy Hubbarth,ESPN,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Jokic, Nikola (DEN)","Harden, James (HOU)","Lillard, Damian (POR)","George, Paul (OKC)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Irving, Kyrie (BOS)","Griffin, Blake (DET)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Walker, Kemba (CHA)",2018,All-NBA
Kelly Iko,The Athletic,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Harden, James (HOU)","George, Paul (OKC)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","Griffin, Blake (DET)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Russell, D'Angelo (BKN)",2018,All-NBA
Frank Isola,Sirius Radio/The Athletic,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Lillard, Damian (POR)","Durant, Kevin (GSW)","Aldridge, LaMarcus (SAS)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Thompson, Klay (GSW)","Griffin, Blake (DET)","Leonard, Kawhi (TOR)","Towns, Karl-Anthony (MIN)","Westbrook, Russell (OKC)","Russell, D'Angelo (BKN)",2018,All-NBA
Mark Jackson,ESPN,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Harden, James (HOU)","James, LeBron (LAL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Griffin, Blake (DET)","Leonard, Kawhi (TOR)","Aldridge, LaMarcus (SAS)","Thompson, Klay (GSW)","Irving, Kyrie (BOS)",2018,All-NBA
K.C. Johnson,Chicago Tribune,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Harden, James (HOU)","George, Paul (OKC)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Irving, Kyrie (BOS)","Lillard, Damian (POR)","Griffin, Blake (DET)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Walker, Kemba (CHA)","Westbrook, Russell (OKC)",2018,All-NBA
Mark Jones,ESPN,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Harden, James (HOU)","Durant, Kevin (GSW)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Leonard, Kawhi (TOR)","Griffin, Blake (DET)","Aldridge, LaMarcus (SAS)","Walker, Kemba (CHA)","Irving, Kyrie (BOS)",2018,All-NBA
Fred Katz,The Athletic,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Harden, James (HOU)","Leonard, Kawhi (TOR)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Irving, Kyrie (BOS)","Lillard, Damian (POR)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Beal, Bradley (WAS)",2018,All-NBA
Marc Kestecher,ESPN,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","George, Paul (OKC)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Griffin, Blake (DET)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Beal, Bradley (WAS)","Irving, Kyrie (BOS)",2018,All-NBA
Nira Khurana,Perform,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Harden, James (HOU)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Gobert, Rudy (UTA)","Irving, Kyrie (BOS)","Lillard, Damian (POR)","Griffin, Blake (DET)","James, LeBron (LAL)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","Walker, Kemba (CHA)",2018,All-NBA
Kennegh Lau,BesTV,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Harden, James (HOU)","Gallinari, Danilo (LAC)","Doncic, Luka (DAL)","Drummond, Andre (DET)","Thompson, Klay (GSW)","Wade, Dwyane (MIA)","Bagley III, Marvin (SAC)","Siakam, Pascal (TOR)","Gobert, Rudy (UTA)","Lillard, Damian (POR)","Mitchell, Donovan (UTA)",2018,All-NBA
Kristen Ledlow,Turner Sports,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Harden, James (HOU)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Irving, Kyrie (BOS)","Beal, Bradley (WAS)",2018,All-NBA
Brian Lewis,New York Post,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","James, LeBron (LAL)","Griffin, Blake (DET)","Towns, Karl-Anthony (MIN)","Irving, Kyrie (BOS)","Simmons, Ben (PHI)",2018,All-NBA
Massimo Pegna,La Gazzetta dello Sport,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Leonard, Kawhi (TOR)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","James, LeBron (LAL)","Gallinari, Danilo (LAC)","Gobert, Rudy (UTA)","Irving, Kyrie (BOS)","Simmons, Ben (PHI)",2018,All-NBA
Zach Lowe,ESPN,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Harden, James (HOU)","Leonard, Kawhi (TOR)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","Griffin, Blake (DET)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Beal, Bradley (WAS)",2018,All-NBA
Tim MacMahon,ESPN,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Walker, Kemba (CHA)","Westbrook, Russell (OKC)",2018,All-NBA
Jackie MacMullan,ESPN,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","Griffin, Blake (DET)","Aldridge, LaMarcus (SAS)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Beal, Bradley (WAS)",2018,All-NBA
Brian Mahoney,Associated Press,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Beal, Bradley (WAS)","Griffin, Blake (DET)","Towns, Karl-Anthony (MIN)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Walker, Kemba (CHA)",2018,All-NBA
Rob Mahoney,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","Griffin, Blake (DET)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Conley, Mike (MEM)",2018,All-NBA
Maxime Malet,L'Equipe,"George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Westbrook, Russell (OKC)","Lillard, Damian (POR)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Walker, Kemba (CHA)","Irving, Kyrie (BOS)",2018,All-NBA
Chris Mannix,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Leonard, Kawhi (TOR)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Irving, Kyrie (BOS)","James, LeBron (LAL)","Griffin, Blake (DET)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Walker, Kemba (CHA)",2018,All-NBA
