Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year,Award
Brian Windhorst,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Kuzma, Kyle (LAL)","Bogdanovic, Bogdan (SAC)","Smith Jr., Dennis (DAL)","Collins, John (ATL)","Adebayo, Bam (MIA)","Ball, Lonzo (LAL)",2018,All-Rookie
Cassidy Hubbarth,ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Jackson, Josh (PHX)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Allen, Jarrett (BKN)","Fox, De'Aaron (SAC)","Collins, John (ATL)",2018,All-Rookie
Chase Hughes,NBCSportsWashington.com,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Jackson, Josh (PHX)","Bogdanovic, Bogdan (SAC)","Collins, John (ATL)",2018,All-Rookie
Chris Broussard,Fox Sports,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Kuzma, Kyle (LAL)","Ball, Lonzo (LAL)","Smith Jr., Dennis (DAL)","Fox, De'Aaron (SAC)","Jackson, Josh (PHX)","Collins, John (ATL)",2018,All-Rookie
Chris Haynes,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Smith Jr., Dennis (DAL)","Kuzma, Kyle (LAL)","Jackson, Josh (PHX)","Markkanen, Lauri (CHI)","Bogdanovic, Bogdan (SAC)","Fox, De'Aaron (SAC)","Allen, Jarrett (BKN)",2018,All-Rookie
Chris Mannix,Yahoo!,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Fox, De'Aaron (SAC)","Collins, John (ATL)","Jackson, Josh (PHX)",2018,All-Rookie
Chris Webber,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Markkanen, Lauri (CHI)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Smith Jr., Dennis (DAL)","Bogdanovic, Bogdan (SAC)","Fox, De'Aaron (SAC)","Jackson, Josh (PHX)","Ball, Lonzo (LAL)",2018,All-Rookie
Clifton Brown,Indianapolis Star,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Jackson, Josh (PHX)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Mason, Frank (SAC)","Kennard, Luke (DET)",2018,All-Rookie
Connor Letourneau,San Francisco Chronicle,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Collins, John (ATL)","Ball, Lonzo (LAL)","Bogdanovic, Bogdan (SAC)","Smith Jr., Dennis (DAL)","Adebayo, Bam (MIA)",2018,All-Rookie
Dave McMenamin,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Jackson, Josh (PHX)","Fox, De'Aaron (SAC)","Bogdanovic, Bogdan (SAC)",2018,All-Rookie
David Aldridge,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Bogdanovic, Bogdan (SAC)","Collins, John (ATL)","Smith Jr., Dennis (DAL)","Allen, Jarrett (BKN)","Brooks, Dillon (MEM)",2018,All-Rookie
Davide Chinellato,La Gazetta dello Sport,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Allen, Jarrett (BKN)","Brooks, Dillon (MEM)","Bogdanovic, Bogdan (SAC)",2018,All-Rookie
Dennis Scott,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Bogdanovic, Bogdan (SAC)","Kuzma, Kyle (LAL)","Ball, Lonzo (LAL)","Bell, Jordan (GSW)","Fox, De'Aaron (SAC)","Thornwell, Sindarius (LAC)","Adebayo, Bam (MIA)",2018,All-Rookie
Diego Cabrera,Periodico Reforma,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Kuzma, Kyle (LAL)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Ball, Lonzo (LAL)","Smith Jr., Dennis (DAL)","Collins, John (ATL)","Fox, De'Aaron (SAC)","Jackson, Josh (PHX)",2018,All-Rookie
Doris Burke,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Kuzma, Kyle (LAL)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Ball, Lonzo (LAL)","Smith Jr., Dennis (DAL)","Bogdanovic, Bogdan (SAC)","Jackson, Josh (PHX)","Collins, Zach (POR)",2018,All-Rookie
Eddie Sefko,Dallas Morning News,"Ball, Lonzo (LAL)","Smith Jr., Dennis (DAL)","Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Markkanen, Lauri (CHI)","Tatum, Jayson (BOS)","Fox, De'Aaron (SAC)","Collins, John (ATL)","Adebayo, Bam (MIA)","Kuzma, Kyle (LAL)",2018,All-Rookie
Elliott Teaford,Southern California News Group,"Mitchell, Donovan (UTA)","Kuzma, Kyle (LAL)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)","Bogdanovic, Bogdan (SAC)","Ball, Lonzo (LAL)","Collins, John (ATL)","Smith Jr., Dennis (DAL)","Markkanen, Lauri (CHI)","Adebayo, Bam (MIA)",2018,All-Rookie
Ernie Johnson,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Anunoby, OG (TOR)","Jackson, Josh (PHX)","Collins, John (ATL)","Ball, Lonzo (LAL)",2018,All-Rookie
Flavio Tranquillo,Sky Italia,"Simmons, Ben (PHI)","Tatum, Jayson (BOS)","Mitchell, Donovan (UTA)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Ball, Lonzo (LAL)","Collins, John (ATL)","Bogdanovic, Bogdan (SAC)","Adebayo, Bam (MIA)","Anunoby, OG (TOR)",2018,All-Rookie
Frank Isola,Sirius Radio/New York Daily News,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Anunoby, OG (TOR)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Teodosic, Milos (LAC)","Brooks, Dillon (MEM)","Fox, De'Aaron (SAC)",2018,All-Rookie
Gary Washburn,Boston Globe,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Smith Jr., Dennis (DAL)","Jackson, Josh (PHX)","Markkanen, Lauri (CHI)","Brooks, Dillon (MEM)","Collins, John (ATL)","Anunoby, OG (TOR)",2018,All-Rookie
Gina Mizell,Denver Post,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Jackson, Josh (PHX)","Ball, Lonzo (LAL)","Bogdanovic, Bogdan (SAC)","Anunoby, OG (TOR)",2018,All-Rookie
Greg Anthony,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Ball, Lonzo (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Kuzma, Kyle (LAL)","Fox, De'Aaron (SAC)","Collins, John (ATL)","Jackson, Josh (PHX)",2018,All-Rookie
Greg Logan,Newsday,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Allen, Jarrett (BKN)","Collins, John (ATL)","Jackson, Josh (PHX)",2018,All-Rookie
Howard Beck,Bleacher Report,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Kuzma, Kyle (LAL)","Ball, Lonzo (LAL)","Bogdanovic, Bogdan (SAC)","Smith Jr., Dennis (DAL)","Collins, John (ATL)","Allen, Jarrett (BKN)",2018,All-Rookie
Jackie MacMullan,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Collins, John (ATL)","Smith Jr., Dennis (DAL)","Bogdanovic, Bogdan (SAC)","Jackson, Josh (PHX)","Ball, Lonzo (LAL)",2018,All-Rookie
Jalen Rose,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Markkanen, Lauri (CHI)","Jackson, Josh (PHX)","Fox, De'Aaron (SAC)","Monk, Malik (CHA)",2018,All-Rookie
Jared Greenberg,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Kuzma, Kyle (LAL)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Collins, John (ATL)","Bogdanovic, Bogdan (SAC)","Allen, Jarrett (BKN)",2018,All-Rookie
Jason Jones,Sacramento Bee,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Kuzma, Kyle (LAL)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Bogdanovic, Bogdan (SAC)","Ball, Lonzo (LAL)","Smith Jr., Dennis (DAL)","Fox, De'Aaron (SAC)","Collins, John (ATL)",2018,All-Rookie
Jason Lloyd,The Athletic,"Tatum, Jayson (BOS)","Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Bogdanovic, Bogdan (SAC)","Ball, Lonzo (LAL)","Anunoby, OG (TOR)","Adebayo, Bam (MIA)",2018,All-Rookie
Jason Quick,NBC Sports Northwest,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Tatum, Jayson (BOS)","Smith Jr., Dennis (DAL)","Brooks, Dillon (MEM)","Ball, Lonzo (LAL)","Collins, John (ATL)","Bogdanovic, Bogdan (SAC)",2018,All-Rookie
Jeff McDonald,San Antonio Express-News,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Kuzma, Kyle (LAL)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Bogdanovic, Bogdan (SAC)","Fox, De'Aaron (SAC)","Allen, Jarrett (BKN)",2018,All-Rookie
Jeff Zillgitt,USA Today,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Bogdanovic, Bogdan (SAC)","Allen, Jarrett (BKN)","Anunoby, OG (TOR)",2018,All-Rookie
Jerry Zgoda,Minneapolis Star Tribune,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Kuzma, Kyle (LAL)","Smith Jr., Dennis (DAL)","Fox, De'Aaron (SAC)","Bogdanovic, Bogdan (SAC)","Collins, John (ATL)","Jackson, Josh (PHX)",2018,All-Rookie
Joe Cowley,Chicago Sun-Times,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Fox, De'Aaron (SAC)","Allen, Jarrett (BKN)","Collins, John (ATL)",2018,All-Rookie
John Schuhmann,NBA.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Collins, John (ATL)","Markkanen, Lauri (CHI)","Bogdanovic, Bogdan (SAC)","Ball, Lonzo (LAL)","Adebayo, Bam (MIA)","Anunoby, OG (TOR)",2018,All-Rookie
Jon Barry,ESPN Radio,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Kuzma, Kyle (LAL)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Bogdanovic, Bogdan (SAC)","Collins, Zach (POR)","Jackson, Josh (PHX)",2018,All-Rookie
Justin Termine,Sirius Radio,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Bogdanovic, Bogdan (SAC)","Jackson, Josh (PHX)","Collins, John (ATL)","Adebayo, Bam (MIA)",2018,All-Rookie
KC Johnson,Chicago Tribune,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Kuzma, Kyle (LAL)","Ball, Lonzo (LAL)","Smith Jr., Dennis (DAL)","Bogdanovic, Bogdan (SAC)","Collins, John (ATL)","Jackson, Josh (PHX)",2018,All-Rookie
Keith Pompey,Philadelphia Inquirer,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Smith Jr., Dennis (DAL)","Markkanen, Lauri (CHI)","Jackson, Josh (PHX)","Ball, Lonzo (LAL)","Fox, De'Aaron (SAC)","Collins, John (ATL)",2018,All-Rookie
Kevin Arnovitz,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Collins, John (ATL)","Markkanen, Lauri (CHI)","Anunoby, OG (TOR)","Kuzma, Kyle (LAL)","Bogdanovic, Bogdan (SAC)","O'Neale, Royce (UTA)","Adebayo, Bam (MIA)",2018,All-Rookie
Kevin Harlan,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Smith Jr., Dennis (DAL)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Fox, De'Aaron (SAC)","Ball, Lonzo (LAL)","Bell, Jordan (GSW)","Bogdanovic, Bogdan (SAC)",2018,All-Rookie
Kevin O'Connor,The Ringer,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Bogdanovic, Bogdan (SAC)","Ball, Lonzo (LAL)","Anunoby, OG (TOR)","Jackson, Josh (PHX)","Collins, John (ATL)",2018,All-Rookie
Kevin Pelton,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Ball, Lonzo (LAL)","Anunoby, OG (TOR)","Bogdanovic, Bogdan (SAC)","Collins, John (ATL)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","O'Neale, Royce (UTA)",2018,All-Rookie
Kristen Ledlow,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Kuzma, Kyle (LAL)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Bogdanovic, Bogdan (SAC)","Collins, John (ATL)","Adebayo, Bam (MIA)",2018,All-Rookie
Kurt Helin,NBCSports.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Bogdanovic, Bogdan (SAC)","Adebayo, Bam (MIA)","Collins, John (ATL)","Ball, Lonzo (LAL)","Anunoby, OG (TOR)",2018,All-Rookie
Lee Jenkins,Sports Illustrated,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Ball, Lonzo (LAL)","Markkanen, Lauri (CHI)","Collins, John (ATL)","Smith Jr., Dennis (DAL)","Anunoby, OG (TOR)","Jackson, Josh (PHX)",2018,All-Rookie
Lisa Yang,Tencent,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Markkanen, Lauri (CHI)","Kuzma, Kyle (LAL)","Tatum, Jayson (BOS)","Collins, John (ATL)","Allen, Jarrett (BKN)","Smith Jr., Dennis (DAL)","Fox, De'Aaron (SAC)","Jackson, Josh (PHX)",2018,All-Rookie
Manny Navarro,Miami Herald,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Adebayo, Bam (MIA)","Collins, John (ATL)","Ball, Lonzo (LAL)","Smith Jr., Dennis (DAL)","Allen, Jarrett (BKN)",2018,All-Rookie
Marc Berman,New York Post,"Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Simmons, Ben (PHI)","Markkanen, Lauri (CHI)","Allen, Jarrett (BKN)","Bogdanovic, Bogdan (SAC)","Collins, John (ATL)","Smith Jr., Dennis (DAL)","Adebayo, Bam (MIA)",2018,All-Rookie
Marc Kestecher,ESPN Radio,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Jackson, Josh (PHX)","Bogdanovic, Bogdan (SAC)","Fox, De'Aaron (SAC)","Brooks, Dillon (MEM)",2018,All-Rookie
Mark Jackson,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Markkanen, Lauri (CHI)","Fox, De'Aaron (SAC)","Bogdanovic, Bogdan (SAC)","Jackson, Josh (PHX)",2018,All-Rookie
Marv Albert,Turner,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Bogdanovic, Bogdan (SAC)","Ball, Lonzo (LAL)","Anunoby, OG (TOR)","Adebayo, Bam (MIA)","Collins, John (ATL)",2018,All-Rookie
Matt Velazquez,Milwaukee Journal Sentinel,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Kuzma, Kyle (LAL)","Ball, Lonzo (LAL)","Smith Jr., Dennis (DAL)","Collins, John (ATL)","Anunoby, OG (TOR)","Jackson, Josh (PHX)",2018,All-Rookie
Matt Winer,Turner,"Simmons, Ben (PHI)","Tatum, Jayson (BOS)","Mitchell, Donovan (UTA)","Kuzma, Kyle (LAL)","Ball, Lonzo (LAL)","Markkanen, Lauri (CHI)","Bogdanovic, Bogdan (SAC)","Anunoby, OG (TOR)","Smith Jr., Dennis (DAL)","Collins, John (ATL)",2018,All-Rookie
Michael Grange,Rogers Sportsnet,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Bogdanovic, Bogdan (SAC)","Brooks, Dillon (MEM)","Adebayo, Bam (MIA)","Collins, John (ATL)","Markkanen, Lauri (CHI)","Allen, Jarrett (BKN)",2018,All-Rookie
Michael Wilbon,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Collins, John (ATL)","Bogdanovic, Bogdan (SAC)","Adebayo, Bam (MIA)","Fox, De'Aaron (SAC)",2018,All-Rookie
Michelle Beadle,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Bogdanovic, Bogdan (SAC)","Markkanen, Lauri (CHI)","Kuzma, Kyle (LAL)","Smith Jr., Dennis (DAL)","Adebayo, Bam (MIA)","Ball, Lonzo (LAL)","Allen, Jarrett (BKN)",2018,All-Rookie
Mike Breen,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Bogdanovic, Bogdan (SAC)","Collins, John (ATL)","Ball, Lonzo (LAL)","Adebayo, Bam (MIA)",2018,All-Rookie
Mike Ganter,Toronto Sun,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Adebayo, Bam (MIA)","Bell, Jordan (GSW)","Bogdanovic, Bogdan (SAC)","Anunoby, OG (TOR)",2018,All-Rookie
Nira Khurana,Excelsior,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Ball, Lonzo (LAL)","Bogdanovic, Bogdan (SAC)","Collins, John (ATL)","Adebayo, Bam (MIA)",2018,All-Rookie
Paul Flannery,SB Nation,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Ball, Lonzo (LAL)","Fox, De'Aaron (SAC)","Smith Jr., Dennis (DAL)","Jackson, Josh (PHX)","Collins, John (ATL)",2018,All-Rookie
Rachel Nichols,ABC/ESPN,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Kuzma, Kyle (LAL)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Bogdanovic, Bogdan (SAC)","Ball, Lonzo (LAL)","Smith Jr., Dennis (DAL)","Adebayo, Bam (MIA)","Collins, John (ATL)",2018,All-Rookie
Ramona Shelburne,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Adebayo, Bam (MIA)","Anunoby, OG (TOR)","Ball, Lonzo (LAL)","Collins, John (ATL)","Smith Jr., Dennis (DAL)",2018,All-Rookie
Reggie Miller,Turner,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)","Markkanen, Lauri (CHI)","Kuzma, Kyle (LAL)","Collins, John (ATL)","Smith Jr., Dennis (DAL)","Bogdanovic, Bogdan (SAC)","Adebayo, Bam (MIA)","Ball, Lonzo (LAL)",2018,All-Rookie
Ric Bucher,Bleacher Report,"Mitchell, Donovan (UTA)","Simmons, Ben (PHI)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Smith Jr., Dennis (DAL)","Collins, John (ATL)","Jackson, Josh (PHX)","Bogdanovic, Bogdan (SAC)","Adebayo, Bam (MIA)",2018,All-Rookie
