Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year,Award
Clifton Brown,Indianapolis Star,"Davis, Anthony (NOP)","Covington, Robert (PHI)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Oladipo, Victor (IND)","Green, Draymond (GSW)","Horford, Al (BOS)","Embiid, Joel (PHI)","Butler, Jimmy (MIN)","Paul, Chris (HOU)",2018,All-Defensive
Connor Letourneau,San Francisco Chronicle,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Paul, Chris (HOU)","Covington, Robert (PHI)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Richardson, Josh (MIA)",2018,All-Defensive
Dave McMenamin,ESPN.com,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Richardson, Josh (MIA)","Paul, Chris (HOU)","Durant, Kevin (GSW)","George, Paul (OKC)","Embiid, Joel (PHI)","Smart, Marcus (BOS)","Oladipo, Victor (IND)",2018,All-Defensive
David Aldridge,Turner,"Davis, Anthony (NOP)","Covington, Robert (PHI)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Murray, Dejounte (SAS)","Green, Draymond (GSW)","Horford, Al (BOS)","Embiid, Joel (PHI)","Roberson, Andre (OKC)","Green, Danny (SAS)",2018,All-Defensive
Davide Chinellato,La Gazetta dello Sport,"Butler, Jimmy (MIN)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Paul, Chris (HOU)","Durant, Kevin (GSW)","Tucker, PJ (HOU)","Embiid, Joel (PHI)","Thompson, Klay (GSW)","Harris, Gary (DEN)",2018,All-Defensive
Dennis Scott,Turner,"George, Paul (OKC)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Bradley, Avery (LAC)","Paul, Chris (HOU)","Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)","Favors, Derrick (UTA)","Brown, Jaylen (BOS)","Barton, Will (DEN)",2018,All-Defensive
Diego Cabrera,Periodico Reforma,"George, Paul (OKC)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Oladipo, Victor (IND)","Durant, Kevin (GSW)","Horford, Al (BOS)","Embiid, Joel (PHI)","Butler, Jimmy (MIN)","Roberson, Andre (OKC)",2018,All-Defensive
Doris Burke,ABC/ESPN,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Oladipo, Victor (IND)","Covington, Robert (PHI)","George, Paul (OKC)","Embiid, Joel (PHI)","Paul, Chris (HOU)","Richardson, Josh (MIA)",2018,All-Defensive
Eddie Sefko,Dallas Morning News,"Green, Draymond (GSW)","Covington, Robert (PHI)","Gobert, Rudy (UTA)","Green, Danny (SAS)","Oladipo, Victor (IND)","George, Paul (OKC)","Davis, Anthony (NOP)","Embiid, Joel (PHI)","Roberson, Andre (OKC)","Harris, Gary (DEN)",2018,All-Defensive
Elliott Teaford,Southern California News Group,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Paul, Chris (HOU)","Green, Draymond (GSW)","Covington, Robert (PHI)","Embiid, Joel (PHI)","Oladipo, Victor (IND)","Richardson, Josh (MIA)",2018,All-Defensive
Ernie Johnson,Turner,"Davis, Anthony (NOP)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Butler, Jimmy (MIN)","Covington, Robert (PHI)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Oladipo, Victor (IND)","Brown, Jaylen (BOS)",2018,All-Defensive
Flavio Tranquillo,Sky Italia,"Horford, Al (BOS)","Covington, Robert (PHI)","Gobert, Rudy (UTA)","Thompson, Klay (GSW)","Murray, Dejounte (SAS)","Tucker, PJ (HOU)","Green, Draymond (GSW)","Davis, Ed (POR)","Holiday, Jrue (NOP)","Smart, Marcus (BOS)",2018,All-Defensive
Frank Isola,Sirius Radio/New York Daily News,"Davis, Anthony (NOP)","Horford, Al (BOS)","Gobert, Rudy (UTA)","Butler, Jimmy (MIN)","Simmons, Ben (PHI)","Covington, Robert (PHI)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Oladipo, Victor (IND)",2018,All-Defensive
Gary Washburn,Boston Globe,"Durant, Kevin (GSW)","Horford, Al (BOS)","Gobert, Rudy (UTA)","Westbrook, Russell (OKC)","Oladipo, Victor (IND)","Davis, Anthony (NOP)","Covington, Robert (PHI)","Drummond, Andre (DET)","Smart, Marcus (BOS)","Lowry, Kyle (TOR)",2018,All-Defensive
Gina Mizell,Denver Post,"Davis, Anthony (NOP)","Covington, Robert (PHI)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Holiday, Jrue (NOP)","Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIN)","Embiid, Joel (PHI)","Roberson, Andre (OKC)","Paul, Chris (HOU)",2018,All-Defensive
Greg Anthony,Turner,"George, Paul (OKC)","Davis, Anthony (NOP)","Embiid, Joel (PHI)","Paul, Chris (HOU)","Oladipo, Victor (IND)","Durant, Kevin (GSW)","Aldridge, LaMarcus (SAS)","Gobert, Rudy (UTA)","Butler, Jimmy (MIN)","Thompson, Klay (GSW)",2018,All-Defensive
Greg Logan,Newsday,"Davis, Anthony (NOP)","Covington, Robert (PHI)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Oladipo, Victor (IND)","Green, Draymond (GSW)","Horford, Al (BOS)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","VanVleet, Fred (TOR)",2018,All-Defensive
Howard Beck,Bleacher Report,"Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Paul, Chris (HOU)","Oladipo, Victor (IND)","Covington, Robert (PHI)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Lowry, Kyle (TOR)",2018,All-Defensive
Jackie MacMullan,ESPN.com,"Horford, Al (BOS)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Roberson, Andre (OKC)","Murray, Dejounte (SAS)","Covington, Robert (PHI)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Paul, Chris (HOU)",2018,All-Defensive
Jalen Rose,ABC/ESPN,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Davis, Anthony (NOP)","Paul, Chris (HOU)","Thompson, Klay (GSW)","Brown, Jaylen (BOS)","George, Paul (OKC)","Gobert, Rudy (UTA)","Butler, Jimmy (MIN)","Richardson, Josh (MIA)",2018,All-Defensive
Jared Greenberg,Turner,"Horford, Al (BOS)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Rubio, Ricky (UTA)","George, Paul (OKC)","Tucker, PJ (HOU)","Embiid, Joel (PHI)","Paul, Chris (HOU)","Thompson, Klay (GSW)",2018,All-Defensive
Jason Jones,Sacramento Bee,"Green, Draymond (GSW)","George, Paul (OKC)","Gobert, Rudy (UTA)","Thompson, Klay (GSW)","Oladipo, Victor (IND)","Tucker, PJ (HOU)","Covington, Robert (PHI)","Davis, Anthony (NOP)","Holiday, Jrue (NOP)","Butler, Jimmy (MIN)",2018,All-Defensive
Jason Lloyd,The Athletic,"Covington, Robert (PHI)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Butler, Jimmy (MIN)","Horford, Al (BOS)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Oladipo, Victor (IND)","Paul, Chris (HOU)",2018,All-Defensive
Jason Quick,NBC Sports Northwest,"George, Paul (OKC)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Butler, Jimmy (MIN)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Jordan, DeAndre (LAC)","Oladipo, Victor (IND)","Paul, Chris (HOU)",2018,All-Defensive
Jeff McDonald,San Antonio Express-News,"Green, Draymond (GSW)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Butler, Jimmy (MIN)","Green, Danny (SAS)","Covington, Robert (PHI)","Horford, Al (BOS)","Embiid, Joel (PHI)","Oladipo, Victor (IND)","Murray, Dejounte (SAS)",2018,All-Defensive
Jeff Zillgitt,USA Today,"Horford, Al (BOS)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Butler, Jimmy (MIN)","Murray, Dejounte (SAS)","Covington, Robert (PHI)","George, Paul (OKC)","Embiid, Joel (PHI)","Paul, Chris (HOU)","Oladipo, Victor (IND)",2018,All-Defensive
Jerry Zgoda,Minneapolis Star Tribune,"Green, Draymond (GSW)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Oladipo, Victor (IND)","Horford, Al (BOS)","Covington, Robert (PHI)","Embiid, Joel (PHI)","Butler, Jimmy (MIN)","Murray, Dejounte (SAS)",2018,All-Defensive
Joe Cowley,Chicago Sun-Times,"Covington, Robert (PHI)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Butler, Jimmy (MIN)","Horford, Al (BOS)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Simmons, Ben (PHI)","Oladipo, Victor (IND)",2018,All-Defensive
John Schuhmann,NBA.com,"Covington, Robert (PHI)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Paul, Chris (HOU)","Horford, Al (BOS)","Mbah a Moute, Luc (HOU)","Embiid, Joel (PHI)","Murray, Dejounte (SAS)","Roberson, Andre (OKC)",2018,All-Defensive
Jon Barry,ESPN Radio,"Green, Draymond (GSW)","George, Paul (OKC)","Gobert, Rudy (UTA)","Paul, Chris (HOU)","Thompson, Klay (GSW)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Smart, Marcus (BOS)",2018,All-Defensive
Justin Termine,Sirius Radio,"Davis, Anthony (NOP)","Horford, Al (BOS)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Holiday, Jrue (NOP)","George, Paul (OKC)","Butler, Jimmy (MIN)","Embiid, Joel (PHI)","Murray, Dejounte (SAS)","Smart, Marcus (BOS)",2018,All-Defensive
KC Johnson,Chicago Tribune,"Davis, Anthony (NOP)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Butler, Jimmy (MIN)","Oladipo, Victor (IND)","Horford, Al (BOS)","Covington, Robert (PHI)","Embiid, Joel (PHI)","Paul, Chris (HOU)","Murray, Dejounte (SAS)",2018,All-Defensive
Keith Pompey,Philadelphia Inquirer,"Covington, Robert (PHI)","Davis, Anthony (NOP)","Embiid, Joel (PHI)","Oladipo, Victor (IND)","Butler, Jimmy (MIN)","George, Paul (OKC)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Westbrook, Russell (OKC)",2018,All-Defensive
Kevin Arnovitz,ESPN.com,"Davis, Anthony (NOP)","Covington, Robert (PHI)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Simmons, Ben (PHI)","Horford, Al (BOS)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Butler, Jimmy (MIN)",2018,All-Defensive
Kevin Harlan,Turner,"Covington, Robert (PHI)","Horford, Al (BOS)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Oladipo, Victor (IND)","Green, Draymond (GSW)","George, Paul (OKC)","Embiid, Joel (PHI)","Butler, Jimmy (MIN)","Roberson, Andre (OKC)",2018,All-Defensive
Kevin O'Connor,The Ringer,"Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Oladipo, Victor (IND)","Horford, Al (BOS)","Covington, Robert (PHI)","Embiid, Joel (PHI)","Paul, Chris (HOU)","Richardson, Josh (MIA)",2018,All-Defensive
Kevin Pelton,ESPN.com,"Covington, Robert (PHI)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Roberson, Andre (OKC)","Butler, Jimmy (MIN)","Horford, Al (BOS)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Oladipo, Victor (IND)",2018,All-Defensive
Kristen Ledlow,Turner,"Davis, Anthony (NOP)","Horford, Al (BOS)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Butler, Jimmy (MIN)","George, Paul (OKC)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Paul, Chris (HOU)","Oladipo, Victor (IND)",2018,All-Defensive
Kurt Helin,NBCSports.com,"Covington, Robert (PHI)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Murray, Dejounte (SAS)","Antetokounmpo, Giannis (MIL)","Horford, Al (BOS)","Embiid, Joel (PHI)","Paul, Chris (HOU)","Holiday, Jrue (NOP)",2018,All-Defensive
Lee Jenkins,Sports Illustrated,"Davis, Anthony (NOP)","Horford, Al (BOS)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Oladipo, Victor (IND)","Aminu, Al-Farouq (POR)","George, Paul (OKC)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Butler, Jimmy (MIN)",2018,All-Defensive
Lisa Yang,Tencent,"Davis, Anthony (NOP)","Covington, Robert (PHI)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Brown, Jaylen (BOS)","Horford, Al (BOS)","Butler, Jimmy (MIN)","Embiid, Joel (PHI)","Oladipo, Victor (IND)","Thompson, Klay (GSW)",2018,All-Defensive
Manny Navarro,Miami Herald,"Brown, Jaylen (BOS)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Richardson, Josh (MIA)","Simmons, Ben (PHI)","Horford, Al (BOS)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Mitchell, Donovan (UTA)","Lillard, Damian (POR)",2018,All-Defensive
Marc Berman,New York Post,"Durant, Kevin (GSW)","George, Paul (OKC)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Thompson, Klay (GSW)","Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Simmons, Ben (PHI)",2018,All-Defensive
Marc Kestecher,ESPN Radio,"Davis, Anthony (NOP)","George, Paul (OKC)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Oladipo, Victor (IND)","Covington, Robert (PHI)","Tucker, PJ (HOU)","Embiid, Joel (PHI)","Murray, Dejounte (SAS)","Thompson, Klay (GSW)",2018,All-Defensive
Mark Jackson,ABC/ESPN,"George, Paul (OKC)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Thompson, Klay (GSW)","Holiday, Jrue (NOP)","Antetokounmpo, Giannis (MIL)","Tucker, PJ (HOU)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","Butler, Jimmy (MIN)",2018,All-Defensive
Marv Albert,Turner,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Paul, Chris (HOU)","Oladipo, Victor (IND)","Covington, Robert (PHI)","Davis, Anthony (NOP)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Butler, Jimmy (MIN)",2018,All-Defensive
Matt Velazquez,Milwaukee Journal Sentinel,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Oladipo, Victor (IND)","George, Paul (OKC)","Covington, Robert (PHI)","Embiid, Joel (PHI)","Butler, Jimmy (MIN)","Simmons, Ben (PHI)",2018,All-Defensive
Matt Winer,Turner,"Green, Draymond (GSW)","Horford, Al (BOS)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Smart, Marcus (BOS)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (NOP)","Embiid, Joel (PHI)","Paul, Chris (HOU)","Butler, Jimmy (MIN)",2018,All-Defensive
Michael Grange,Rogers Sportsnet,"Covington, Robert (PHI)","Davis, Anthony (NOP)","Horford, Al (BOS)","Holiday, Jrue (NOP)","Oladipo, Victor (IND)","Green, Draymond (GSW)","George, Paul (OKC)","Drummond, Andre (DET)","Green, Danny (SAS)","Lowry, Kyle (TOR)",2018,All-Defensive
Michael Wilbon,ABC/ESPN,"Horford, Al (BOS)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Oladipo, Victor (IND)","George, Paul (OKC)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Paul, Chris (HOU)","Butler, Jimmy (MIN)",2018,All-Defensive
Michelle Beadle,ABC/ESPN,"Horford, Al (BOS)","George, Paul (OKC)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Butler, Jimmy (MIN)","Green, Draymond (GSW)","Aldridge, LaMarcus (SAS)","Embiid, Joel (PHI)","Oladipo, Victor (IND)","Paul, Chris (HOU)",2018,All-Defensive
Mike Breen,ABC/ESPN,"Horford, Al (BOS)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Murray, Dejounte (SAS)","Covington, Robert (PHI)","Tucker, PJ (HOU)","Embiid, Joel (PHI)","Paul, Chris (HOU)","Richardson, Josh (MIA)",2018,All-Defensive
Mike Ganter,Toronto Sun,"George, Paul (OKC)","Horford, Al (BOS)","Gobert, Rudy (UTA)","Butler, Jimmy (MIN)","Roberson, Andre (OKC)","Green, Draymond (GSW)","Covington, Robert (PHI)","Adams, Steven (OKC)","Murray, Dejounte (SAS)","Lowry, Kyle (TOR)",2018,All-Defensive
Nira Khurana,Excelsior,"Green, Draymond (GSW)","Horford, Al (BOS)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Oladipo, Victor (IND)","George, Paul (OKC)","Davis, Anthony (NOP)","Embiid, Joel (PHI)","Murray, Dejounte (SAS)","Butler, Jimmy (MIN)",2018,All-Defensive
Paul Flannery,SB Nation,"Davis, Anthony (NOP)","Covington, Robert (PHI)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Oladipo, Victor (IND)","Horford, Al (BOS)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Simmons, Ben (PHI)","Butler, Jimmy (MIN)",2018,All-Defensive
Rachel Nichols,ABC/ESPN,"Davis, Anthony (NOP)","Horford, Al (BOS)","Embiid, Joel (PHI)","Oladipo, Victor (IND)","Holiday, Jrue (NOP)","Covington, Robert (PHI)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Paul, Chris (HOU)","Butler, Jimmy (MIN)",2018,All-Defensive
Ramona Shelburne,ESPN.com,"Davis, Anthony (NOP)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Oladipo, Victor (IND)","George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Thompson, Klay (GSW)","Paul, Chris (HOU)",2018,All-Defensive
Reggie Miller,Turner,"Davis, Anthony (NOP)","George, Paul (OKC)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Oladipo, Victor (IND)","Horford, Al (BOS)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Butler, Jimmy (MIN)","Westbrook, Russell (OKC)",2018,All-Defensive
Ric Bucher,Bleacher Report,"Green, Draymond (GSW)","Covington, Robert (PHI)","Embiid, Joel (PHI)","Butler, Jimmy (MIN)","Holiday, Jrue (NOP)","Tucker, PJ (HOU)","Aminu, Al-Farouq (POR)","Horford, Al (BOS)","Richardson, Josh (MIA)","Paul, Chris (HOU)",2018,All-Defensive
Richard Walker,Gaston Gazette,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Holiday, Jrue (NOP)","Covington, Robert (PHI)","George, Paul (OKC)","Davis, Anthony (NOP)","Roberson, Andre (OKC)","Oladipo, Victor (IND)",2018,All-Defensive
Rob Mahoney,Sports Illustrated,"Davis, Anthony (NOP)","Covington, Robert (PHI)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Oladipo, Victor (IND)","Horford, Al (BOS)","Butler, Jimmy (MIN)","Embiid, Joel (PHI)","Richardson, Josh (MIA)","Holiday, Jrue (NOP)",2018,All-Defensive
Rod Beard,Detroit News,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Paul, Chris (HOU)","Butler, Jimmy (MIN)","Horford, Al (BOS)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Murray, Dejounte (SAS)",2018,All-Defensive
Ron Tillery,Memphis Commercial Appeal,"Horford, Al (BOS)","Durant, Kevin (GSW)","Gobert, Rudy (UTA)","Butler, Jimmy (MIN)","Murray, Dejounte (SAS)","Green, Draymond (GSW)","Covington, Robert (PHI)","Davis, Anthony (NOP)","Oladipo, Victor (IND)","Paul, Chris (HOU)",2018,All-Defensive
Rosalyn Gold-Onwude,Turner,"Davis, Anthony (NOP)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Holiday, Jrue (NOP)","Durant, Kevin (GSW)","Horford, Al (BOS)","Embiid, Joel (PHI)","Butler, Jimmy (MIN)","Bledsoe, Eric (MIL)",2018,All-Defensive
Royce Young,ESPN.com,"Davis, Anthony (NOP)","George, Paul (OKC)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Holiday, Jrue (NOP)","Durant, Kevin (GSW)","Horford, Al (BOS)","Embiid, Joel (PHI)","Roberson, Andre (OKC)","Brown, Jaylen (BOS)",2018,All-Defensive
