Voter,Affiliation,1st,2nd,3rd,Year
Steve Holman,Hawks Radio Network,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Kidd, Jason -- Milwaukee",2014
Steve Martin,Fox Sports Carolinas/SportSouth,"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Popovich, Gregg -- San Antonio",2014
Ted Davis,WTMJ Radio,"Budenholzer, Mike -- Atlanta","Kidd, Jason -- Milwaukee","Kerr, Steve -- Golden State",2014
Tim Capstraw,WFAN (660),"Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State","Kidd, Jason -- Milwaukee",2014
Tim Kempton,KTAR Radio,"Budenholzer, Mike -- Atlanta","Kidd, Jason -- Milwaukee","Kerr, Steve -- Golden State",2014
Tim Roye,KNBR Radio,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Stevens, Brad -- Boston",2014
Tom Heinsohn,Comcast SportsNet,"Budenholzer, Mike -- Atlanta","Stevens, Brad -- Boston","Kidd, Jason -- Milwaukee",2014
Vince Ellis,Detroit Free Press,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Kidd, Jason -- Milwaukee",2014
Walt Frazier,MSG Network,"Kerr, Steve -- Golden State","Budenholzer, Mike -- Atlanta","Kidd, Jason -- Milwaukee",2014
Zach Lowe,Grantland,"Popovich, Gregg -- San Antonio","Budenholzer, Mike -- Atlanta","Kerr, Steve -- Golden State",2014
