Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year,Award
Scott Kushner,New Orleans Times Picayune,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)",2021,All-Defensive
Brian Lewis,New York Post,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Leonard, Kawhi (LAC)","Turner, Myles (IND)","Embiid, Joel (PHI)","Dort, Luguentz (OKC)","Paul, Chris (PHX)",2021,All-Defensive
Zach Lowe,ESPN,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Smart, Marcus (BOS)",2021,All-Defensive
Jackie MacMullan,ESPN,"Embiid, Joel (PHI)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Leonard, Kawhi (LAC)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","Holiday, Jrue (MIL)","Dort, Luguentz (OKC)",2021,All-Defensive
Brian Mahoney,Associated Press,"Green, Draymond (GSW)","Turner, Myles (IND)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Leonard, Kawhi (LAC)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Thybulle, Matisse (PHI)",2021,All-Defensive
Rob Mahoney,The Ringer,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Green, Draymond (GSW)","Anunoby, OG (TOR)","Turner, Myles (IND)","Dort, Luguentz (OKC)","Thybulle, Matisse (PHI)",2021,All-Defensive
Chris Mannix,Sports Illustrated,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Leonard, Kawhi (LAC)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Brooks, Dillon (MEM)","Smart, Marcus (BOS)",2021,All-Defensive
Diego Martinez,Reforma,"Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Turner, Myles (IND)","Holiday, Jrue (MIL)","Dort, Luguentz (OKC)",2021,All-Defensive
Jeff McDonald,San Antonio Express-News,"Adebayo, Bam (MIA)","Turner, Myles (IND)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","Thybulle, Matisse (PHI)","McConnell, T.J. (IND)",2021,All-Defensive
Dave McMenamin,ESPN,"Leonard, Kawhi (LAC)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Caruso, Alex (LAL)","Butler, Jimmy (MIA)",2021,All-Defensive
Mark Medina,USA Today,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Adebayo, Bam (MIA)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Smart, Marcus (BOS)","Butler, Jimmy (MIA)",2021,All-Defensive
Yoko Miyaji,Sports Graphic Number,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","George, Paul (LAC)","Bridges, Mikal (PHX)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)",2021,All-Defensive
Joe Mussatto,The Oklahoman,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Dort, Luguentz (OKC)","Holiday, Jrue (MIL)",2021,All-Defensive
