Voter,Affiliation,1st,2nd,3rd,Year,Award
Mike Singer,Denver Post,"Gobert, Rudy (UTA)","Green, Draymond (GSW)","Butler, Jimmy (MIA)",2021,DPOY
Anthony Slater,The Athletic,"Gobert, Rudy (UTA)","Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)",2021,DPOY
Doug Smith,The Toronto Star,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2021,DPOY
Stephen Smith,ESPN,"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Antetokounmpo, Giannis (MIL)",2021,DPOY
Steve Smith,Turner,"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Green, Draymond (GSW)",2021,DPOY
Seerat Sohi,The Ringer,"Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Green, Draymond (GSW)",2021,DPOY
Daisuke Sugiura,Nihon Keizai Shimbun,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Mirjam Swanson,Southern California News Group,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)",2021,DPOY
Maria Taylor,ESPN,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)",2021,DPOY
Justin Termine,Sirius Radio,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Brad Townsend,Dallas Morning News,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Christos Tsaltas,SDNA.gr,"Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)",2021,DPOY
Olgun Uluc,ESPN Australia,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2021,DPOY
Joe Vardon,The Athletic,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)",2021,DPOY
Gary Washburn,Boston Globe,"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Antetokounmpo, Giannis (MIL)",2021,DPOY
Michael Wilbon,ESPN,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Capela, Clint (ATL)",2021,DPOY
Brian Windhorst,ESPN,"Gobert, Rudy (UTA)","Green, Draymond (GSW)","Simmons, Ben (PHI)",2021,DPOY
Matt Winer,Turner,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)",2021,DPOY
Ryan Wolstat,The Toronto Sun,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)",2021,DPOY
Michael Wright,NBA.com,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2021,DPOY
Royce Young,ESPN,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Jeff Zillgitt,USA Today,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
