Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year
Sekou Smith,NBA.com,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Beverley, Patrick (LAC)","Adebayo, Bam (MIA)","Tatum, Jayson (BOS)","Lopez, Brook (MIL)","Smart, Marcus (BOS)","Bledsoe, Eric (MIL)",2019
Stephen Smith,ESPN,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)","Tatum, Jayson (BOS)","Adebayo, Bam (MIA)","Lowry, Kyle (TOR)","Bledsoe, Eric (MIL)",2019
Steve Smith,Turner,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Lopez, Brook (MIL)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Tucker, P.J. (HOU)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Bledsoe, Eric (MIL)","Beverley, Patrick (LAC)",2019
Seerat Sohi,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","Siakam, Pascal (TOR)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Tatum, Jayson (BOS)","Embiid, Joel (PHI)","Brown, Jaylen (BOS)","Middleton, Khris (MIL)",2019
Casey Stern,Turner,"Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Davis, Anthony (LAL)","Tucker, P.J. (HOU)","Embiid, Joel (PHI)","George, Paul (LAC)","Beverley, Patrick (LAC)",2019
Mirjam Swanson,Southern California News Group,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Beverley, Patrick (LAC)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Tatum, Jayson (BOS)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","DiVincenzo, Donte (MIL)",2019
Maria Taylor,ESPN,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Lopez, Brook (MIL)","Beverley, Patrick (LAC)","Tatum, Jayson (BOS)",2019
Justin Termine,Sirius Radio,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Tucker, P.J. (HOU)","Adebayo, Bam (MIA)","Lopez, Brook (MIL)","Bledsoe, Eric (MIL)","Lowry, Kyle (TOR)",2019
Brad Townsend,Dallas Morning News,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Beverley, Patrick (LAC)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Lopez, Brook (MIL)","Lowry, Kyle (TOR)","Smart, Marcus (BOS)",2019
Joe Vardon,The Athletic,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Lowry, Kyle (TOR)","Tatum, Jayson (BOS)","Leonard, Kawhi (LAC)","Lopez, Brook (MIL)","Bledsoe, Eric (MIL)","Simmons, Ben (PHI)",2019
Matt Velazquez,Milwaukee Journal Sentinel,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Lopez, Brook (MIL)","Bledsoe, Eric (MIL)","Lowry, Kyle (TOR)",2019
Gary Washburn,Boston Globe,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)","Tucker, P.J. (HOU)","Whiteside, Hassan (POR)","Beverley, Patrick (LAC)","Paul, Chris (OKC)",2019
Michael Wilbon,ESPN,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Beverley, Patrick (LAC)","Leonard, Kawhi (LAC)","Butler, Jimmy (MIA)","Lopez, Brook (MIL)","Paul, Chris (OKC)","Bledsoe, Eric (MIL)",2019
Brian Windhorst,ESPN,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Tucker, P.J. (HOU)","Lopez, Brook (MIL)","Holiday, Jrue (NOP)","Lowry, Kyle (TOR)",2019
Matt Winer,Turner,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Leonard, Kawhi (LAC)","Simmons, Ben (PHI)","Tucker, P.J. (HOU)","Tatum, Jayson (BOS)","Lopez, Brook (MIL)","Smart, Marcus (BOS)","Beverley, Patrick (LAC)",2019
Royce Young,ESPN,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Siakam, Pascal (TOR)","Leonard, Kawhi (LAC)","Adams, Steven (OKC)","Beverley, Patrick (LAC)","Bledsoe, Eric (MIL)",2019
Jeff Zillgitt,USA Today,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Leonard, Kawhi (LAC)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Siakam, Pascal (TOR)","Lopez, Brook (MIL)","Smart, Marcus (BOS)","Bledsoe, Eric (MIL)",2019
