Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year
Zach Harper,The Athletic,"Barrett, R.J. (NYK)","Nunn, Kendrick (MIA)","Morant, Ja (MEM)","Clarke, Brandon (MEM)","Williamson, Zion (NOP)","White, Coby (CHI)","Washington, P.J. (CHA)","Herro, Tyler (MIA)","Paschall, Eric (GSW)","Hachimura, Rui (WAS)",2019
Chris Haynes,Yahoo! Sports,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Barrett, R.J. (NYK)","Hachimura, Rui (WAS)","Paschall, Eric (GSW)","White, Coby (CHI)","Garland, Darius (CLE)","Herro, Tyler (MIA)","Hunter, De'Andre (ATL)","Washington, P.J. (CHA)",2019
Kurt Helin,NBCSports.com,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","White, Coby (CHI)","Barrett, R.J. (NYK)","Washington, P.J. (CHA)","Paschall, Eric (GSW)","Davis, Terence (TOR)","Herro, Tyler (MIA)",2019
Adam Himmelsbach,Boston Globe,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Herro, Tyler (MIA)","Davis, Terence (TOR)","Paschall, Eric (GSW)","White, Coby (CHI)","Washington, P.J. (CHA)","Barrett, R.J. (NYK)",2019
Chris Hine,Minneapolis Star Tribune,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Paschall, Eric (GSW)","Davis, Terence (TOR)","Barrett, R.J. (NYK)","Hachimura, Rui (WAS)","White, Coby (CHI)","Washington, P.J. (CHA)","Herro, Tyler (MIA)",2019
Erik Horne,The Athletic,"Morant, Ja (MEM)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Washington, P.J. (CHA)","Davis, Terence (TOR)","Paschall, Eric (GSW)","Barrett, R.J. (NYK)","White, Coby (CHI)","Hachimura, Rui (WAS)","Herro, Tyler (MIA)",2019
Lisa Hsu,Tencent,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Davis, Terence (TOR)","Clarke, Brandon (MEM)","Hachimura, Rui (WAS)","Paschall, Eric (GSW)","White, Coby (CHI)","Washington, P.J. (CHA)","Herro, Tyler (MIA)",2019
Cassidy Hubbarth,ESPN,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Davis, Terence (TOR)","Paschall, Eric (GSW)","Washington, P.J. (CHA)","Herro, Tyler (MIA)","White, Coby (CHI)","Thybulle, Matisse (PHI)",2019
Kelly Iko,The Athletic,"Morant, Ja (MEM)","Clarke, Brandon (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Davis, Terence (TOR)","Paschall, Eric (GSW)","Herro, Tyler (MIA)","Washington, P.J. (CHA)","White, Coby (CHI)","Hachimura, Rui (WAS)",2019
Frank Isola,Sirius Radio,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Hachimura, Rui (WAS)","Clarke, Brandon (MEM)","Williamson, Zion (NOP)","Davis, Terence (TOR)","White, Coby (CHI)","Barrett, R.J. (NYK)","Washington, P.J. (CHA)","Herro, Tyler (MIA)",2019
Mark Jackson,ESPN,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)","Herro, Tyler (MIA)","Clarke, Brandon (MEM)","Barrett, R.J. (NYK)","Hachimura, Rui (WAS)","Washington, P.J. (CHA)","White, Coby (CHI)","Paschall, Eric (GSW)",2019
Ernie Johnson,Turner,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Washington, P.J. (CHA)","Barrett, R.J. (NYK)","Paschall, Eric (GSW)","White, Coby (CHI)","Herro, Tyler (MIA)","Hachimura, Rui (WAS)",2019
Mark Jones,ESPN,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Herro, Tyler (MIA)","Clarke, Brandon (MEM)","Paschall, Eric (GSW)","White, Coby (CHI)","Thybulle, Matisse (PHI)","Hachimura, Rui (WAS)","Barrett, R.J. (NYK)",2019
Fred Katz,The Athletic,"Morant, Ja (MEM)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Davis, Terence (TOR)","Williamson, Zion (NOP)","Herro, Tyler (MIA)","Thybulle, Matisse (PHI)","Hachimura, Rui (WAS)","Paschall, Eric (GSW)","Washington, P.J. (CHA)",2019
Marc Kestecher,ESPN,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Thybulle, Matisse (PHI)","Paschall, Eric (GSW)","Clarke, Brandon (MEM)","Davis, Terence (TOR)","Hachimura, Rui (WAS)","Herro, Tyler (MIA)","Washington, P.J. (CHA)",2019
Chris Kirschner,The Athletic,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Davis, Terence (TOR)","Washington, P.J. (CHA)","White, Coby (CHI)","Herro, Tyler (MIA)","Paschall, Eric (GSW)","Thybulle, Matisse (PHI)",2019
Nick Kosmider,The Athletic,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Williamson, Zion (NOP)","Herro, Tyler (MIA)","Barrett, R.J. (NYK)","Davis, Terence (TOR)","Hachimura, Rui (WAS)","Washington, P.J. (CHA)","Paschall, Eric (GSW)",2019
Andy Larsen,Salt Lake Tribune,"Morant, Ja (MEM)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)","Davis, Terence (TOR)","Herro, Tyler (MIA)","Porter, Michael Jr. (DEN)","Paschall, Eric (GSW)","Thybulle, Matisse (PHI)","Washington, P.J. (CHA)",2019
Kristen Ledlow,Turner,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Davis, Terence (TOR)","Clarke, Brandon (MEM)","Herro, Tyler (MIA)","Washington, P.J. (CHA)","White, Coby (CHI)","Hachimura, Rui (WAS)","Paschall, Eric (GSW)",2019
Connor Letourneau,San Francisco Chronicle,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Paschall, Eric (GSW)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Herro, Tyler (MIA)","Washington, P.J. (CHA)","Porter, Michael Jr. (DEN)","Thybulle, Matisse (PHI)","Davis, Terence (TOR)",2019
Greg Logan,Newsday,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Barrett, R.J. (NYK)","Hachimura, Rui (WAS)","Paschall, Eric (GSW)","Garland, Darius (CLE)","Hunter, De'Andre (ATL)","Herro, Tyler (MIA)","Clarke, Brandon (MEM)",2019
Zach Lowe,ESPN,"Williamson, Zion (NOP)","Morant, Ja (MEM)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Paschall, Eric (GSW)","Herro, Tyler (MIA)","White, Coby (CHI)","Hachimura, Rui (WAS)","Washington, P.J. (CHA)","Davis, Terence (TOR)",2019
Coral Lu,ESPN-Tencent,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Paschall, Eric (GSW)","Clarke, Brandon (MEM)","Thybulle, Matisse (PHI)","Herro, Tyler (MIA)","Davis, Terence (TOR)","Hachimura, Rui (WAS)","Porter, Michael Jr. (DEN)","White, Coby (CHI)",2019
Jackie MacMullan,ESPN,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Davis, Terence (TOR)","White, Coby (CHI)","Thybulle, Matisse (PHI)","Washington, P.J. (CHA)","Paschall, Eric (GSW)","Garland, Darius (CLE)",2019
Brian Mahoney,Associated Press,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Paschall, Eric (GSW)","Davis, Terence (TOR)","Herro, Tyler (MIA)","Hachimura, Rui (WAS)","White, Coby (CHI)","Garland, Darius (CLE)",2019
Maxime Malet,L'Equipe,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Paschall, Eric (GSW)","White, Coby (CHI)","Thybulle, Matisse (PHI)","Washington, P.J. (CHA)","Hachimura, Rui (WAS)","Davis, Terence (TOR)",2019
Chris Mannix,Sports Illustrated,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)","Davis, Terence (TOR)","Clarke, Brandon (MEM)","Paschall, Eric (GSW)","Washington, P.J. (CHA)","Herro, Tyler (MIA)","Hachimura, Rui (WAS)","White, Coby (CHI)",2019
Diego Martinez,Reforma,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Williamson, Zion (NOP)","Barrett, R.J. (NYK)","Washington, P.J. (CHA)","Hachimura, Rui (WAS)","Paschall, Eric (GSW)","White, Coby (CHI)","Herro, Tyler (MIA)",2019
Jeff McDonald,San Antonio Express-News,"Morant, Ja (MEM)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)","Herro, Tyler (MIA)","Hachimura, Rui (WAS)","Barrett, R.J. (NYK)","White, Coby (CHI)","Paschall, Eric (GSW)","Hunter, De'Andre (ATL)",2019
Dave McMenamin,ESPN,"Williamson, Zion (NOP)","Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Paschall, Eric (GSW)","Hachimura, Rui (WAS)","White, Coby (CHI)","Washington, P.J. (CHA)","Garland, Darius (CLE)","Davis, Terence (TOR)",2019
Mark Medina,USA Today,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Herro, Tyler (MIA)","Davis, Terence (TOR)","Paschall, Eric (GSW)","Thybulle, Matisse (PHI)","White, Coby (CHI)","Washington, P.J. (CHA)",2019
Yoko Miyaji,Sports Graphic Number,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Herro, Tyler (MIA)","White, Coby (CHI)","Barrett, R.J. (NYK)","Paschall, Eric (GSW)","Washington, P.J. (CHA)","Hachimura, Rui (WAS)",2019
Rachel Nichols,ESPN,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Davis, Terence (TOR)","Paschall, Eric (GSW)","Herro, Tyler (MIA)","White, Coby (CHI)","Thybulle, Matisse (PHI)","Washington, P.J. (CHA)",2019
Kevin O'Connor,The Ringer,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Paschall, Eric (GSW)","Washington, P.J. (CHA)","Davis, Terence (TOR)","Thybulle, Matisse (PHI)","Herro, Tyler (MIA)","Hachimura, Rui (WAS)",2019
Candace Parker,Turner,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Washington, P.J. (CHA)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","White, Coby (CHI)","Hachimura, Rui (WAS)","Herro, Tyler (MIA)","Paschall, Eric (GSW)","Davis, Terence (TOR)",2019
Dave Pasch,ESPN,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Barrett, R.J. (NYK)","White, Coby (CHI)","Hunter, De'Andre (ATL)","Hachimura, Rui (WAS)","Herro, Tyler (MIA)","Clarke, Brandon (MEM)","Washington, P.J. (CHA)",2019
Kevin Pelton,ESPN,"Clarke, Brandon (MEM)","Davis, Terence (TOR)","Morant, Ja (MEM)","Thybulle, Matisse (PHI)","Williamson, Zion (NOP)","Hayes, Jaxson (NOP)","Herro, Tyler (MIA)","Johnson, Cameron (PHX)","Nunn, Kendrick (MIA)","Porter, Michael Jr. (DEN)",2019
Keith Pompey,Philadelphia Inquirer and Daily News,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Paschall, Eric (GSW)","Thybulle, Matisse (PHI)","Herro, Tyler (MIA)","Barrett, R.J. (NYK)","White, Coby (CHI)","Hachimura, Rui (WAS)","Clarke, Brandon (MEM)",2019
Shaun Powell,NBA.com,"Morant, Ja (MEM)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Herro, Tyler (MIA)","Williamson, Zion (NOP)","Barrett, R.J. (NYK)","White, Coby (CHI)","Paschall, Eric (GSW)","Washington, P.J. (CHA)","Hachimura, Rui (WAS)",2019
Jason Quick,The Athletic,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Hachimura, Rui (WAS)","Barrett, R.J. (NYK)","Herro, Tyler (MIA)","Paschall, Eric (GSW)","Hunter, De'Andre (ATL)","Thybulle, Matisse (PHI)",2019
Duane Rankin,Arizona Republic,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Paschall, Eric (GSW)","Herro, Tyler (MIA)","Washington, P.J. (CHA)","Thybulle, Matisse (PHI)","White, Coby (CHI)","Barrett, R.J. (NYK)",2019
Remi Reverchon,BeIN Sport (France),"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Hachimura, Rui (WAS)","Herro, Tyler (MIA)","White, Coby (CHI)","Paschall, Eric (GSW)","Barrett, R.J. (NYK)","Washington, P.J. (CHA)",2019
Tim Reynolds,Associated Press,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)","Paschall, Eric (GSW)","Clarke, Brandon (MEM)","Barrett, R.J. (NYK)","Herro, Tyler (MIA)","White, Coby (CHI)","Hunter, De'Andre (ATL)","Washington, P.J. (CHA)",2019
Josh Robbins,The Athletic,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Herro, Tyler (MIA)","Paschall, Eric (GSW)","Davis, Terence (TOR)","White, Coby (CHI)","Thybulle, Matisse (PHI)","Washington, P.J. (CHA)",2019
Jalen Rose,ESPN,"Morant, Ja (MEM)","Williamson, Zion (NOP)","White, Coby (CHI)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Porter, Michael Jr. (DEN)","Herro, Tyler (MIA)","Washington, P.J. (CHA)","Thybulle, Matisse (PHI)","Davis, Terence (TOR)",2019
Simone Sandri,La Gazzetta Dello Sport,"Morant, Ja (MEM)","Barrett, R.J. (NYK)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Hachimura, Rui (WAS)","Paschall, Eric (GSW)","Davis, Terence (TOR)","Herro, Tyler (MIA)","White, Coby (CHI)",2019
Chris Sasaki,Rakuten,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Herro, Tyler (MIA)","Paschall, Eric (GSW)","Davis, Terence (TOR)","Thybulle, Matisse (PHI)","Porter, Michael Jr. (DEN)","Washington, P.J. (CHA)",2019
John Schuhmann,NBA.com,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Williamson, Zion (NOP)","Davis, Terence (TOR)","Paschall, Eric (GSW)","Washington, P.J. (CHA)","Thybulle, Matisse (PHI)","White, Coby (CHI)","Barrett, R.J. (NYK)",2019
Dennis Scott,Turner,"Morant, Ja (MEM)","Williamson, Zion (NOP)","White, Coby (CHI)","Herro, Tyler (MIA)","Clarke, Brandon (MEM)","Paschall, Eric (GSW)","Thybulle, Matisse (PHI)","Hayes, Jaxson (NOP)","Hachimura, Rui (WAS)","Washington, P.J. (CHA)",2019
Ramona Shelburne,ESPN,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Paschall, Eric (GSW)","Williamson, Zion (NOP)","Garland, Darius (CLE)","Washington, P.J. (CHA)","Herro, Tyler (MIA)","Hachimura, Rui (WAS)","Davis, Terence (TOR)",2019
Bill Simmons,The Ringer,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Davis, Terence (TOR)","Washington, P.J. (CHA)","Hachimura, Rui (WAS)","Paschall, Eric (GSW)","White, Coby (CHI)","Williamson, Zion (NOP)","Hunter, De'Andre (ATL)",2019
Doug Smith,The Toronto Star,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Davis, Terence (TOR)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Thybulle, Matisse (PHI)","White, Coby (CHI)","Washington, P.J. (CHA)","Herro, Tyler (MIA)","Hachimura, Rui (WAS)",2019
Sekou Smith,NBA.com,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Davis, Terence (TOR)","Barrett, R.J. (NYK)","Thybulle, Matisse (PHI)","Washington, P.J. (CHA)","Hachimura, Rui (WAS)","Martin, Cody (CHA)",2019
Stephen Smith,ESPN,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Herro, Tyler (MIA)","Williamson, Zion (NOP)","Barrett, R.J. (NYK)","Paschall, Eric (GSW)","Hachimura, Rui (WAS)","Garland, Darius (CLE)","White, Coby (CHI)",2019
